Gradient Profiler Text Data File: 20240419_BY4742_40.csv
Date: 2024-04-19
Time: 15:29:36

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.094873, 0, 0.000
0.03, 0.094946, , 
0.06, 0.094980, , 
0.09, 0.094952, , 
0.12, 0.095009, , 
0.15, 0.094990, , 
0.18, 0.094965, , 
0.21, 0.094876, , 
0.24, 0.094898, , 
0.27, 0.094987, , 
0.30, 0.094996, , 
0.33, 0.094949, , 
0.36, 0.094961, , 
0.39, 0.095101, , 
0.42, 0.095228, , 
0.45, 0.095247, , 
0.48, 0.095298, , 
0.51, 0.095418, , 
0.54, 0.095675, , 
0.58, 0.097696, , 
0.60, 0.102593, , 
0.63, 0.116886, , 
0.66, 0.151197, , 
0.69, 0.196162, , 
0.72, 0.262078, , 
0.75, 0.325504, , 
0.78, 0.392273, , 
0.81, 0.460892, , 
0.84, 0.530382, , 
0.87, 0.612091, , 
0.90, 0.682394, , 
0.93, 0.753100, , 
0.96, 0.836106, , 
0.99, 0.895681, , 
1.02, 0.979081, , 
1.05, 1.050719, , 
1.08, 1.122072, , 
1.11, 1.202982, , 
1.14, 1.266357, , 
1.17, 1.326275, , 
1.20, 1.357372, , 
1.23, 1.382830, , 
1.26, 1.400638, , 
1.29, 1.409744, , 
1.32, 1.416589, , 
1.35, 1.420833, , 
1.38, 1.424414, , 
1.41, 1.427900, , 
1.44, 1.431212, , 
1.47, 1.434669, , 
1.50, 1.437283, , 
1.53, 1.439687, , 
1.56, 1.442460, , 
1.59, 1.444556, , 
1.62, 1.446355, , 
1.65, 1.447845, , 
1.68, 1.448838, , 
1.71, 1.449092, , 
1.74, 1.448515, , 
1.77, 1.446948, , 
1.80, 1.444858, , 
1.83, 1.442440, , 
1.86, 1.438260, , 
1.89, 1.433959, , 
1.92, 1.427865, , 
1.95, 1.421690, , 
1.98, 1.414715, , 
2.01, 1.406011, , 
2.04, 1.399331, , 
2.07, 1.388920, , 
2.10, 1.379056, , 
2.13, 1.368290, , 
2.16, 1.354616, , 
2.19, 1.341700, , 
2.22, 1.325599, , 
2.25, 1.313663, , 
2.28, 1.298790, , 
2.31, 1.280691, , 
2.34, 1.264841, , 
2.37, 1.246037, , 
2.40, 1.229692, , 
2.43, 1.213008, , 
2.46, 1.196235, , 
2.49, 1.179357, , 
2.52, 1.159130, , 
2.55, 1.141332, , 
2.58, 1.123496, , 
2.61, 1.102971, , 
2.64, 1.085563, , 
2.67, 1.068419, , 
2.70, 1.051741, , 
2.73, 1.035646, , 
2.76, 1.017322, , 
2.79, 1.001726, , 
2.82, 0.983877, , 
2.85, 0.968750, , 
2.88, 0.956177, , 
2.91, 0.938601, , 
2.94, 0.923696, , 
2.97, 0.909054, , 
3.00, 0.892151, , 
3.03, 0.877789, , 
3.06, 0.861234, , 
3.09, 0.846945, , 
3.12, 0.834936, , 
3.15, 0.818051, , 
3.18, 0.803692, , 
3.19, 0.798960, 1, 0.584
3.21, 0.787176, , 
3.24, 0.775449, , 
3.27, 0.759161, , 
3.30, 0.745408, , 
3.33, 0.729796, , 
3.36, 0.716546, , 
3.39, 0.703637, , 
3.43, 0.689027, , 
3.45, 0.678775, , 
3.48, 0.664374, , 
3.51, 0.652083, , 
3.54, 0.640109, , 
3.57, 0.626470, , 
3.60, 0.615114, , 
3.63, 0.604339, , 
3.66, 0.594179, , 
3.69, 0.584350, , 
3.72, 0.572978, , 
3.75, 0.563409, , 
3.78, 0.552618, , 
3.81, 0.543641, , 
3.84, 0.534795, , 
3.87, 0.524641, , 
3.90, 0.517574, , 
3.93, 0.509099, , 
3.96, 0.499538, , 
3.99, 0.491659, , 
4.02, 0.482873, , 
4.05, 0.475495, , 
4.08, 0.468105, , 
4.11, 0.460670, , 
4.14, 0.453244, , 
4.17, 0.444591, , 
4.20, 0.437229, , 
4.23, 0.430060, , 
4.26, 0.421896, , 
4.30, 0.414880, , 
4.32, 0.407873, , 
4.35, 0.401205, , 
4.38, 0.394900, , 
4.41, 0.387639, , 
4.44, 0.381419, , 
4.47, 0.374383, , 
4.51, 0.368350, , 
4.53, 0.363228, , 
4.56, 0.356215, , 
4.59, 0.350600, , 
4.62, 0.344469, , 
4.65, 0.339242, , 
4.68, 0.334182, , 
4.72, 0.328517, , 
4.74, 0.324546, , 
4.77, 0.319290, , 
4.80, 0.314907, , 
4.83, 0.310777, , 
4.86, 0.306035, , 
4.89, 0.301886, , 
4.93, 0.297144, , 
4.95, 0.293861, , 
4.98, 0.290007, , 
5.01, 0.285779, , 
5.04, 0.282270, , 
5.07, 0.278372, , 
5.10, 0.275010, , 
5.13, 0.272149, , 
5.16, 0.268247, , 
5.19, 0.265044, , 
5.22, 0.261320, , 
5.25, 0.258100, , 
5.28, 0.255020, , 
5.31, 0.251639, , 
5.34, 0.249222, , 
5.37, 0.245863, , 
5.40, 0.243088, , 
5.43, 0.240407, , 
5.46, 0.237172, , 
5.49, 0.234368, , 
5.52, 0.231323, , 
5.55, 0.229280, , 
5.58, 0.226927, , 
5.61, 0.224135, , 
5.64, 0.221870, , 
5.67, 0.219733, , 
5.70, 0.217192, , 
5.73, 0.215035, , 
5.76, 0.212989, , 
5.79, 0.210794, , 
5.82, 0.208827, , 
5.85, 0.206899, , 
5.88, 0.205196, , 
5.91, 0.203454, , 
5.94, 0.201237, , 
5.97, 0.199565, , 
6.00, 0.197723, , 
6.04, 0.196105, , 
6.06, 0.194697, , 
6.09, 0.192657, , 
6.12, 0.191087, , 
6.15, 0.189215, , 
6.18, 0.187474, , 
