Gradient Profiler Text Data File: 20240506_MV_I_30.csv
Date: 2024-05-06
Time: 16:34:49

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.097788, 0, 0.000
0.03, 0.097775, , 
0.06, 0.097781, , 
0.09, 0.097775, , 
0.12, 0.097765, , 
0.15, 0.097746, , 
0.18, 0.097800, , 
0.21, 0.097772, , 
0.24, 0.097759, , 
0.27, 0.097791, , 
0.30, 0.097800, , 
0.33, 0.097721, , 
0.36, 0.097566, , 
0.39, 0.097451, , 
0.42, 0.097359, , 
0.45, 0.097296, , 
0.48, 0.097271, , 
0.51, 0.097274, , 
0.54, 0.097217, , 
0.57, 0.097220, , 
0.60, 0.097334, , 
0.63, 0.098057, , 
0.66, 0.101280, , 
0.69, 0.113574, , 
0.72, 0.138039, , 
0.75, 0.178685, , 
0.78, 0.242789, , 
0.81, 0.306951, , 
0.84, 0.376096, , 
0.87, 0.447795, , 
0.90, 0.533516, , 
0.93, 0.607901, , 
0.96, 0.682883, , 
0.99, 0.770996, , 
1.02, 0.846662, , 
1.05, 0.922548, , 
1.08, 0.998823, , 
1.11, 1.075505, , 
1.14, 1.164991, , 
1.17, 1.240636, , 
1.20, 1.312642, , 
1.23, 1.385447, , 
1.26, 1.425582, , 
1.29, 1.464184, , 
1.32, 1.484703, , 
1.35, 1.497838, , 
1.38, 1.507801, , 
1.41, 1.513949, , 
1.44, 1.519959, , 
1.47, 1.523880, , 
1.50, 1.528356, , 
1.53, 1.533408, , 
1.56, 1.537681, , 
1.59, 1.542474, , 
1.62, 1.546451, , 
1.65, 1.550299, , 
1.68, 1.554127, , 
1.71, 1.557988, , 
1.74, 1.562302, , 
1.77, 1.565867, , 
1.80, 1.569397, , 
1.83, 1.573162, , 
1.86, 1.576128, , 
1.89, 1.578932, , 
1.92, 1.581485, , 
1.95, 1.583696, , 
1.98, 1.585821, , 
2.01, 1.587258, , 
2.04, 1.588533, , 
2.07, 1.589307, , 
2.10, 1.589771, , 
2.13, 1.590300, , 
2.16, 1.590725, , 
2.19, 1.591084, , 
2.22, 1.591287, , 
2.25, 1.591344, , 
2.28, 1.591369, , 
2.31, 1.591214, , 
2.34, 1.590900, , 
2.37, 1.590551, , 
2.40, 1.590192, , 
2.43, 1.589672, , 
2.46, 1.589142, , 
2.49, 1.588540, , 
2.52, 1.587902, , 
2.55, 1.587036, , 
2.58, 1.585815, , 
2.61, 1.584632, , 
2.64, 1.582919, , 
2.67, 1.581045, , 
2.70, 1.579224, , 
2.73, 1.576283, , 
2.76, 1.573410, , 
2.79, 1.569578, , 
2.82, 1.565952, , 
2.85, 1.562000, , 
2.88, 1.557039, , 
2.91, 1.553138, , 
2.94, 1.547159, , 
2.97, 1.541659, , 
3.00, 1.535660, , 
3.03, 1.528143, , 
3.06, 1.521320, , 
3.10, 1.512962, , 
3.12, 1.506640, , 
3.15, 1.498593, , 
3.18, 1.488570, , 
3.19, 1.487089, 1, 0.583
3.21, 1.479543, , 
3.24, 1.468495, , 
3.27, 1.458567, , 
3.30, 1.448280, , 
3.33, 1.437689, , 
3.36, 1.426736, , 
3.39, 1.413363, , 
3.42, 1.401668, , 
3.45, 1.389698, , 
3.48, 1.375395, , 
3.52, 1.362936, , 
3.54, 1.350264, , 
3.57, 1.337288, , 
3.60, 1.324086, , 
3.63, 1.308515, , 
3.66, 1.295066, , 
3.69, 1.279406, , 
3.72, 1.268051, , 
3.75, 1.254345, , 
3.78, 1.238282, , 
3.81, 1.224430, , 
3.84, 1.210553, , 
3.87, 1.194297, , 
3.90, 1.180369, , 
3.93, 1.166419, , 
3.96, 1.149991, , 
3.99, 1.135914, , 
4.02, 1.121907, , 
4.05, 1.107912, , 
4.08, 1.093931, , 
4.11, 1.077598, , 
4.14, 1.063711, , 
4.17, 1.047474, , 
4.20, 1.033537, , 
4.23, 1.022070, , 
4.26, 1.006220, , 
4.29, 0.992768, , 
4.32, 0.977213, , 
4.35, 0.964033, , 
4.38, 0.951009, , 
4.41, 0.936032, , 
4.44, 0.925510, , 
4.47, 0.911084, , 
4.50, 0.898891, , 
4.53, 0.886857, , 
4.56, 0.872945, , 
4.59, 0.861234, , 
4.62, 0.847937, , 
4.65, 0.838482, , 
4.68, 0.827307, , 
4.71, 0.814550, , 
4.74, 0.803819, , 
4.77, 0.791572, , 
4.80, 0.781206, , 
4.83, 0.771034, , 
4.86, 0.761014, , 
4.89, 0.751092, , 
4.92, 0.739676, , 
4.95, 0.730122, , 
4.98, 0.720664, , 
5.01, 0.709800, , 
5.04, 0.700630, , 
5.07, 0.691574, , 
5.10, 0.682696, , 
5.13, 0.673903, , 
5.16, 0.663750, , 
5.19, 0.655214, , 
5.22, 0.645327, , 
5.26, 0.636934, , 
5.28, 0.630070, , 
5.31, 0.620541, , 
5.34, 0.612494, , 
5.37, 0.603128, , 
5.40, 0.595182, , 
5.43, 0.587439, , 
5.46, 0.579846, , 
5.49, 0.572338, , 
5.52, 0.563757, , 
5.55, 0.556453, , 
5.58, 0.549224, , 
5.61, 0.541050, , 
5.64, 0.534081, , 
5.67, 0.527280, , 
5.70, 0.520559, , 
5.73, 0.513964, , 
5.76, 0.506393, , 
5.79, 0.500059, , 
5.82, 0.492751, , 
5.85, 0.486502, , 
5.88, 0.481477, , 
5.91, 0.474477, , 
5.94, 0.468454, , 
5.97, 0.462484, , 
6.00, 0.455560, , 
6.03, 0.449736, , 
6.06, 0.442935, , 
6.09, 0.438117, , 
6.12, 0.432420, , 
6.15, 0.425801, , 
6.18, 0.420075, , 
6.21, 0.413509, , 
6.24, 0.407943, , 
6.27, 0.402458, , 
6.30, 0.397060, , 
6.33, 0.391743, , 
6.36, 0.385764, , 
6.39, 0.381606, 2, 0.586
6.39, 0.380778, , 
6.42, 0.375843, , 
6.45, 0.370146, , 
6.48, 0.365359, , 
6.51, 0.360630, , 
6.54, 0.355910, , 
6.57, 0.351263, , 
6.60, 0.346096, , 
6.63, 0.341757, , 
6.66, 0.336790, , 
6.69, 0.332638, , 
6.72, 0.329269, , 
6.75, 0.324556, , 
6.78, 0.320572, , 
6.81, 0.316597, , 
6.84, 0.312023, , 
6.87, 0.308147, , 
6.90, 0.304331, , 
6.93, 0.299856, , 
6.96, 0.296097, , 
6.99, 0.292332, , 
7.02, 0.288548, , 
7.05, 0.284878, , 
7.08, 0.280685, , 
7.11, 0.277122, , 
7.14, 0.273570, , 
7.17, 0.270112, , 
7.20, 0.266179, , 
7.23, 0.262858, , 
7.26, 0.259655, , 
7.29, 0.256568, , 
7.32, 0.253066, , 
7.35, 0.250262, , 
7.38, 0.247157, , 
7.41, 0.244642, , 
7.44, 0.242206, , 
7.47, 0.239722, , 
7.50, 0.237292, , 
7.53, 0.234618, , 
7.56, 0.232360, , 
7.59, 0.230111, , 
7.62, 0.227545, , 
7.65, 0.225728, , 
7.68, 0.223200, , 
7.71, 0.221046, , 
7.74, 0.218943, , 
7.77, 0.216542, , 
7.80, 0.214455, , 
7.83, 0.211993, , 
7.86, 0.210277, , 
7.89, 0.208263, , 
7.92, 0.205805, , 
7.95, 0.203749, , 
7.98, 0.201364, , 
8.01, 0.199401, , 
8.04, 0.197428, , 
8.07, 0.195423, , 
8.10, 0.193501, , 
8.13, 0.191360, , 
8.16, 0.189568, , 
8.19, 0.187769, , 
8.22, 0.185990, , 
8.25, 0.184004, , 
8.28, 0.182351, , 
8.31, 0.180458, , 
8.34, 0.179186, , 
8.37, 0.177720, , 
8.40, 0.175969, , 
8.43, 0.174453, , 
8.46, 0.172807, , 
8.49, 0.171408, , 
8.52, 0.170032, , 
8.55, 0.168693, , 
8.58, 0.167399, , 
8.61, 0.166111, , 
8.64, 0.164661, , 
8.67, 0.163485, , 
8.70, 0.162121, , 
8.73, 0.160922, , 
8.76, 0.159726, , 
8.79, 0.158517, , 
8.82, 0.157325, , 
8.85, 0.155907, , 
8.88, 0.154622, , 
8.91, 0.153430, , 
8.94, 0.152107, , 
8.97, 0.150879, , 
9.00, 0.149620, , 
9.03, 0.148437, , 
9.06, 0.147282, , 
9.09, 0.145874, , 
9.12, 0.144656, , 
9.15, 0.143273, , 
9.18, 0.142119, , 
9.21, 0.141180, , 
9.24, 0.139838, , 
9.27, 0.138740, , 
9.30, 0.137507, , 
9.33, 0.136479, , 
9.36, 0.135521, , 
9.39, 0.134487, , 
9.42, 0.133770, , 
9.45, 0.132650, , 
9.48, 0.131591, , 
9.51, 0.130623, , 
9.54, 0.129564, , 
9.57, 0.128695, , 
9.59, 0.128283, 3, 0.585
9.61, 0.127769, , 
9.63, 0.127169, , 
9.66, 0.126424, , 
9.69, 0.125409, , 
9.72, 0.124571, , 
9.75, 0.123613, , 
9.78, 0.122798, , 
9.81, 0.122053, , 
9.84, 0.121273, , 
9.87, 0.120549, , 
9.90, 0.119690, , 
9.93, 0.118992, , 
9.96, 0.118332, , 
9.99, 0.117555, , 
10.02, 0.117000, , 
10.05, 0.116239, , 
10.08, 0.115611, , 
10.11, 0.115056, , 
10.14, 0.114447, , 
10.17, 0.113961, , 
10.20, 0.113425, , 
10.23, 0.113000, , 
10.26, 0.112439, , 
10.29, 0.111750, , 
10.32, 0.111233, , 
10.35, 0.110685, , 
10.38, 0.110206, , 
10.41, 0.109765, , 
10.44, 0.109295, , 
10.47, 0.108724, , 
10.50, 0.108236, , 
10.53, 0.107817, , 
10.56, 0.107433, , 
10.59, 0.106993, , 
10.62, 0.106491, , 
10.65, 0.106035, , 
10.68, 0.105527, , 
10.71, 0.104934, , 
10.74, 0.104452, , 
10.77, 0.103859, , 
10.80, 0.103405, , 
10.83, 0.102894, , 
10.86, 0.102387, , 
10.89, 0.101921, , 
10.93, 0.101435, , 
10.95, 0.101067, , 
10.98, 0.100471, , 
11.01, 0.099894, , 
11.04, 0.099386, , 
11.07, 0.098793, , 
11.10, 0.098295, , 
11.13, 0.097724, , 
11.16, 0.097420, , 
11.19, 0.097071, , 
11.22, 0.096652, , 
11.25, 0.096303, , 
11.28, 0.095894, , 
11.31, 0.095536, , 
11.34, 0.095212, , 
11.37, 0.094907, , 
11.40, 0.094603, , 
11.43, 0.094346, , 
11.46, 0.094118, , 
11.49, 0.093937, , 
11.52, 0.093743, , 
11.55, 0.093585, , 
11.58, 0.093417, , 
11.61, 0.093239, , 
11.64, 0.093074, , 
11.67, 0.092868, , 
11.70, 0.092601, , 
11.73, 0.092370, , 
11.76, 0.092002, , 
11.79, 0.091726, , 
11.82, 0.091428, , 
11.85, 0.091161, , 
11.88, 0.090898, , 
11.91, 0.090559, , 
11.94, 0.090286, , 
11.97, 0.090061, , 
12.00, 0.089772, , 
12.03, 0.089461, , 
12.06, 0.089169, , 
12.09, 0.088951, , 
12.12, 0.088770, , 
12.15, 0.088478, , 
12.18, 0.088224, , 
12.21, 0.087977, , 
12.24, 0.087786, , 
12.27, 0.087650, , 
12.30, 0.087511, , 
12.33, 0.087415, , 
12.36, 0.087276, , 
12.39, 0.087108, , 
12.42, 0.087032, , 
12.45, 0.087006, , 
12.48, 0.086997, , 
12.51, 0.086974, , 
12.54, 0.086971, , 
12.57, 0.087003, , 
12.60, 0.087000, , 
12.63, 0.086940, , 
12.66, 0.086860, , 
12.69, 0.086686, , 
12.72, 0.086597, , 
12.75, 0.086556, , 
12.78, 0.086515, , 
12.80, 0.086492, 4, 0.588
12.81, 0.086464, , 
12.84, 0.086321, , 
12.87, 0.086134, , 
12.90, 0.086036, , 
12.93, 0.085994, , 
12.96, 0.085972, , 
12.99, 0.085934, , 
13.02, 0.085947, , 
13.05, 0.085988, , 
13.08, 0.085966, , 
13.11, 0.086004, , 
13.14, 0.086169, , 
13.17, 0.086359, , 
13.20, 0.086518, , 
13.23, 0.086683, , 
13.26, 0.086921, , 
13.29, 0.087225, , 
13.32, 0.087419, , 
13.35, 0.087571, , 
13.38, 0.087812, , 
13.41, 0.088088, , 
13.44, 0.088281, , 
13.47, 0.088573, , 
13.50, 0.088897, , 
13.53, 0.089141, , 
13.56, 0.089325, , 
13.59, 0.089449, , 
13.62, 0.089671, , 
13.65, 0.089886, , 
13.68, 0.090118, , 
13.71, 0.090280, , 
13.74, 0.090387, , 
13.77, 0.090527, , 
13.81, 0.090606, , 
13.83, 0.090670, , 
13.86, 0.090806, , 
13.89, 0.090930, , 
13.92, 0.091022, , 
13.95, 0.091142, , 
13.98, 0.091304, , 
14.01, 0.091374, , 
14.04, 0.091456, , 
14.07, 0.091656, , 
14.10, 0.091742, , 
14.13, 0.091799, , 
14.16, 0.091888, , 
14.19, 0.092043, , 
14.22, 0.092199, , 
14.25, 0.092265, , 
14.28, 0.092272, , 
14.31, 0.092335, , 
14.34, 0.092506, , 
14.37, 0.092630, , 
14.40, 0.092706, , 
14.43, 0.092817, , 
14.46, 0.092849, , 
14.49, 0.092760, , 
14.52, 0.092589, , 
14.55, 0.092503, , 
14.58, 0.092437, , 
14.61, 0.092364, , 
14.64, 0.092180, , 
14.67, 0.092034, , 
14.70, 0.091815, , 
14.74, 0.091491, , 
14.76, 0.091180, , 
14.79, 0.090822, , 
14.82, 0.090568, , 
14.85, 0.090197, , 
14.88, 0.089877, , 
14.91, 0.089591, , 
14.94, 0.089350, , 
14.97, 0.088979, , 
15.00, 0.088516, , 
15.03, 0.088253, , 
15.06, 0.087951, , 
15.09, 0.087571, , 
15.12, 0.087279, , 
15.15, 0.087044, , 
15.18, 0.086787, , 
15.21, 0.086540, , 
15.24, 0.086305, , 
15.27, 0.086089, , 
15.30, 0.085829, , 
15.33, 0.085601, , 
15.36, 0.085430, , 
15.39, 0.085179, , 
15.42, 0.084932, , 
15.45, 0.084637, , 
15.48, 0.084424, , 
15.51, 0.084145, , 
15.54, 0.083742, , 
15.57, 0.083397, , 
15.60, 0.083095, , 
15.63, 0.082819, , 
15.67, 0.082426, , 
15.69, 0.082074, , 
15.72, 0.081589, , 
15.75, 0.081300, , 
15.78, 0.080935, , 
15.81, 0.080599, , 
15.84, 0.080247, , 
15.87, 0.079923, , 
15.90, 0.079622, , 
15.93, 0.079248, , 
15.96, 0.078946, , 
15.99, 0.078721, , 
16.00, 0.078680, 5, 0.585
16.02, 0.078436, , 
16.05, 0.078201, , 
16.08, 0.077928, , 
16.11, 0.077674, , 
16.14, 0.077360, , 
16.17, 0.077030, , 
16.20, 0.076824, , 
16.23, 0.076612, , 
16.26, 0.076342, , 
16.29, 0.076133, , 
16.32, 0.075866, , 
16.35, 0.075663, , 
16.38, 0.075340, , 
16.41, 0.075172, , 
16.44, 0.075042, , 
16.47, 0.074905, , 
16.50, 0.074690, , 
16.53, 0.074455, , 
16.56, 0.074293, , 
16.59, 0.074166, , 
