Gradient Profiler Text Data File: 20240906_yHG005_rep2_sample_5_30C.csv
Date: 2024-09-06
Time: 18:23:55

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.060092, 0, 0.000
0.03, 0.060111, , 
0.06, 0.060095, , 
0.09, 0.060121, , 
0.12, 0.060146, , 
0.15, 0.060149, , 
0.18, 0.060111, , 
0.21, 0.060035, , 
0.24, 0.059937, , 
0.27, 0.059854, , 
0.30, 0.059775, , 
0.33, 0.059810, , 
0.36, 0.059969, , 
0.39, 0.060073, , 
0.42, 0.060083, , 
0.45, 0.060083, , 
0.48, 0.060105, , 
0.51, 0.060206, , 
0.54, 0.060632, , 
0.57, 0.062351, , 
0.60, 0.068314, , 
0.63, 0.087244, , 
0.66, 0.117974, , 
0.69, 0.160776, , 
0.72, 0.220878, , 
0.75, 0.267883, , 
0.78, 0.326462, , 
0.81, 0.396876, , 
0.84, 0.457973, , 
0.87, 0.529599, , 
0.90, 0.591280, , 
0.93, 0.653380, , 
0.97, 0.726237, , 
0.99, 0.778621, , 
1.02, 0.852273, , 
1.05, 0.915538, , 
1.08, 0.978523, , 
1.11, 1.049298, , 
1.14, 1.103621, , 
1.17, 1.146972, , 
1.20, 1.177482, , 
1.23, 1.197247, , 
1.26, 1.211213, , 
1.29, 1.218702, , 
1.32, 1.223939, , 
1.35, 1.228503, , 
1.38, 1.231903, , 
1.41, 1.235358, , 
1.44, 1.238901, , 
1.47, 1.242450, , 
1.50, 1.246447, , 
1.53, 1.249828, , 
1.56, 1.253745, , 
1.59, 1.257174, , 
1.62, 1.260153, , 
1.65, 1.264558, , 
1.68, 1.268584, , 
1.71, 1.273319, , 
1.74, 1.277291, , 
1.77, 1.281224, , 
1.80, 1.285788, , 
1.83, 1.289769, , 
1.86, 1.293131, , 
1.89, 1.297775, , 
1.92, 1.301334, , 
1.95, 1.304664, , 
1.98, 1.306888, , 
2.01, 1.308778, , 
2.04, 1.310989, , 
2.07, 1.313057, , 
2.10, 1.315328, , 
2.13, 1.317663, , 
2.16, 1.319877, , 
2.19, 1.322053, , 
2.22, 1.323750, , 
2.25, 1.325523, , 
2.28, 1.327594, , 
2.32, 1.329313, , 
2.34, 1.331014, , 
2.37, 1.332771, , 
2.40, 1.334652, , 
2.43, 1.337307, , 
2.46, 1.340123, , 
2.49, 1.343961, , 
2.53, 1.347346, , 
2.55, 1.350064, , 
2.58, 1.353680, , 
2.61, 1.356500, , 
2.64, 1.359564, , 
2.67, 1.362007, , 
2.70, 1.364170, , 
2.74, 1.366393, , 
2.76, 1.367792, , 
2.79, 1.369695, , 
2.82, 1.371513, , 
2.85, 1.373467, , 
2.88, 1.375253, , 
2.91, 1.376946, , 
2.94, 1.377936, , 
2.97, 1.378621, , 
3.00, 1.379189, , 
3.03, 1.379738, , 
3.06, 1.380366, , 
3.09, 1.380892, , 
3.12, 1.381137, , 
3.15, 1.380934, , 
3.18, 1.380562, , 
3.19, 1.380508, 1, 0.583
3.21, 1.380261, , 
3.24, 1.380137, , 
3.27, 1.379947, , 
3.30, 1.379658, , 
3.33, 1.379084, , 
3.36, 1.378038, , 
3.39, 1.376981, , 
3.42, 1.375738, , 
3.45, 1.374929, , 
3.48, 1.374000, , 
3.51, 1.372778, , 
3.54, 1.371557, , 
3.57, 1.370158, , 
3.60, 1.368271, , 
3.63, 1.366517, , 
3.66, 1.364414, , 
3.69, 1.362815, , 
3.72, 1.360735, , 
3.75, 1.358070, , 
3.78, 1.355545, , 
3.81, 1.352475, , 
3.84, 1.349668, , 
3.87, 1.346711, , 
3.90, 1.343524, , 
3.93, 1.340041, , 
3.96, 1.335740, , 
3.99, 1.331838, , 
4.02, 1.327778, , 
4.05, 1.323531, , 
4.08, 1.318218, , 
4.11, 1.313438, , 
4.14, 1.308496, , 
4.17, 1.302555, , 
4.20, 1.297331, , 
4.24, 1.291142, , 
4.26, 1.286518, , 
4.29, 1.280875, , 
4.32, 1.273938, , 
4.35, 1.267680, , 
4.38, 1.260159, , 
4.41, 1.253542, , 
4.45, 1.246796, , 
4.47, 1.239935, , 
4.50, 1.232855, , 
4.53, 1.225486, , 
4.56, 1.216713, , 
4.59, 1.209164, , 
4.62, 1.201513, , 
4.65, 1.192368, , 
4.68, 1.184347, , 
4.71, 1.176179, , 
4.74, 1.167795, , 
4.77, 1.157912, , 
4.80, 1.149468, , 
4.83, 1.141132, , 
4.86, 1.131445, , 
4.89, 1.123030, , 
4.92, 1.114618, , 
4.95, 1.106260, , 
4.98, 1.097873, , 
5.01, 1.088012, , 
5.04, 1.079571, , 
5.07, 1.071121, , 
5.10, 1.061250, , 
5.13, 1.054161, , 
5.16, 1.044287, , 
5.19, 1.035960, , 
5.22, 1.027666, , 
5.25, 1.017893, , 
5.28, 1.009449, , 
5.31, 0.999426, , 
5.35, 0.990703, , 
5.37, 0.983436, , 
5.40, 0.973295, , 
5.43, 0.964687, , 
5.46, 0.956078, , 
5.49, 0.945934, , 
5.52, 0.937243, , 
5.55, 0.928647, , 
5.58, 0.918542, , 
5.61, 0.909958, , 
5.64, 0.901400, , 
5.68, 0.891323, , 
5.70, 0.883996, , 
5.73, 0.873728, , 
5.76, 0.865044, , 
5.79, 0.856568, , 
5.82, 0.846897, , 
5.85, 0.838739, , 
5.88, 0.830546, , 
5.91, 0.822270, , 
5.94, 0.813918, , 
5.97, 0.804228, , 
6.00, 0.796118, , 
6.03, 0.786865, , 
6.06, 0.779021, , 
6.09, 0.771208, , 
6.12, 0.763456, , 
6.15, 0.755809, , 
6.18, 0.748120, , 
6.21, 0.739204, , 
6.24, 0.731594, , 
6.27, 0.722640, , 
6.30, 0.714926, , 
6.33, 0.707243, , 
6.36, 0.699558, , 
6.39, 0.693223, 2, 0.586
6.39, 0.691961, , 
6.42, 0.683225, , 
6.45, 0.675870, , 
6.48, 0.668571, , 
6.51, 0.661272, , 
6.54, 0.652689, , 
