Gradient Profiler Text Data File: 20241017_yHG005_rep1_sample_2_30C.csv
Date: 2024-10-17
Time: 15:13:14

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.059544, 0, 0.000
0.03, 0.059601, , 
0.06, 0.059604, , 
0.09, 0.059585, , 
0.12, 0.059639, , 
0.15, 0.059629, , 
0.18, 0.059594, , 
0.21, 0.059582, , 
0.24, 0.059591, , 
0.27, 0.059525, , 
0.30, 0.059379, , 
0.33, 0.059233, , 
0.36, 0.059125, , 
0.39, 0.059112, , 
0.42, 0.059090, , 
0.45, 0.059099, , 
0.48, 0.059103, , 
0.51, 0.059068, , 
0.54, 0.059112, , 
0.57, 0.059236, , 
0.60, 0.060381, , 
0.63, 0.063949, , 
0.66, 0.078531, , 
0.69, 0.106085, , 
0.72, 0.158264, , 
0.75, 0.216596, , 
0.78, 0.282860, , 
0.81, 0.366063, , 
0.84, 0.427739, , 
0.87, 0.515918, , 
0.90, 0.592698, , 
0.93, 0.670131, , 
0.96, 0.761182, , 
0.99, 0.839633, , 
1.02, 0.931524, , 
1.05, 0.997462, , 
1.08, 1.076504, , 
1.11, 1.168449, , 
1.14, 1.245654, , 
1.17, 1.329593, , 
1.20, 1.390278, , 
1.23, 1.436059, , 
1.26, 1.467131, , 
1.29, 1.487082, , 
1.32, 1.501343, , 
1.35, 1.508997, , 
1.38, 1.514336, , 
1.41, 1.518948, , 
1.44, 1.521970, , 
1.47, 1.524467, , 
1.50, 1.526922, , 
1.53, 1.528825, , 
1.56, 1.530281, , 
1.59, 1.532305, , 
1.62, 1.534255, , 
1.65, 1.536641, , 
1.68, 1.538556, , 
1.71, 1.540298, , 
1.74, 1.542350, , 
1.77, 1.543831, , 
1.80, 1.545820, , 
1.83, 1.547403, , 
1.86, 1.548976, , 
1.89, 1.550721, , 
1.92, 1.552024, , 
1.95, 1.553322, , 
1.98, 1.554153, , 
2.01, 1.554955, , 
2.04, 1.555463, , 
2.07, 1.555650, , 
2.10, 1.555742, , 
2.13, 1.555755, , 
2.16, 1.555771, , 
2.19, 1.555771, , 
2.22, 1.555717, , 
2.25, 1.555520, , 
2.28, 1.555095, , 
2.31, 1.554616, , 
2.34, 1.553988, , 
2.38, 1.553420, , 
2.40, 1.552833, , 
2.43, 1.552221, , 
2.46, 1.551495, , 
2.49, 1.550683, , 
2.52, 1.549718, , 
2.55, 1.549017, , 
2.58, 1.548247, , 
2.61, 1.547555, , 
2.64, 1.546667, , 
2.67, 1.545519, , 
2.70, 1.544091, , 
2.73, 1.542084, , 
2.76, 1.540127, , 
2.79, 1.538055, , 
2.82, 1.535334, , 
2.85, 1.533085, , 
2.88, 1.529593, , 
2.91, 1.526291, , 
2.94, 1.522700, , 
2.97, 1.518840, , 
3.00, 1.514091, , 
3.03, 1.509803, , 
3.06, 1.505200, , 
3.09, 1.500198, , 
3.12, 1.493864, , 
3.15, 1.488145, , 
3.18, 1.481084, , 
3.19, 1.480037, 1, 0.584
3.21, 1.474664, , 
3.24, 1.467949, , 
3.27, 1.461003, , 
3.30, 1.452543, , 
3.33, 1.446291, , 
3.36, 1.437308, , 
3.39, 1.429340, , 
3.42, 1.421198, , 
3.45, 1.411292, , 
3.48, 1.402477, , 
3.51, 1.391956, , 
3.54, 1.384327, , 
3.57, 1.375135, , 
3.60, 1.364290, , 
3.63, 1.354809, , 
3.66, 1.343429, , 
3.69, 1.333247, , 
3.72, 1.322843, , 
3.75, 1.312299, , 
3.78, 1.301572, , 
3.81, 1.288878, , 
3.84, 1.277849, , 
3.87, 1.266728, , 
3.90, 1.253545, , 
3.93, 1.242155, , 
3.96, 1.230790, , 
3.99, 1.219412, , 
4.02, 1.205966, , 
4.05, 1.194306, , 
4.08, 1.182510, , 
4.11, 1.170726, , 
4.14, 1.159025, , 
4.17, 1.145557, , 
4.20, 1.134246, , 
4.23, 1.123100, , 
4.26, 1.110072, , 
4.29, 1.098837, , 
4.32, 1.087599, , 
4.35, 1.076517, , 
4.38, 1.065532, , 
4.41, 1.054630, , 
4.44, 1.041920, , 
4.47, 1.029296, , 
4.50, 1.018556, , 
4.53, 1.008015, , 
4.56, 0.997589, , 
4.59, 0.987166, , 
4.62, 0.974973, , 
4.65, 0.964389, , 
4.68, 0.953645, , 
4.71, 0.940989, , 
4.74, 0.931924, , 
4.77, 0.919430, , 
4.80, 0.908927, , 
4.83, 0.898511, , 
4.86, 0.886258, , 
4.89, 0.875793, , 
4.92, 0.863762, , 
4.95, 0.855284, , 
4.98, 0.845187, , 
5.01, 0.833597, , 
5.04, 0.823644, , 
5.07, 0.811977, , 
5.10, 0.801938, , 
5.13, 0.792019, , 
5.16, 0.782339, , 
5.19, 0.772829, , 
5.22, 0.761965, , 
5.25, 0.752833, , 
5.28, 0.743831, , 
5.31, 0.733494, , 
5.34, 0.724809, , 
5.37, 0.716499, , 
5.40, 0.708509, , 
5.43, 0.700652, , 
5.46, 0.691609, , 
5.49, 0.683986, , 
5.52, 0.676491, , 
5.55, 0.667714, , 
5.58, 0.661488, , 
5.61, 0.652898, , 
5.64, 0.645508, , 
5.67, 0.638082, , 
5.70, 0.629372, , 
5.73, 0.621893, , 
5.76, 0.613284, , 
5.79, 0.607143, , 
5.82, 0.599775, , 
5.85, 0.591268, , 
5.88, 0.583979, , 
5.91, 0.575398, , 
5.94, 0.567929, , 
5.97, 0.560414, , 
6.00, 0.552805, , 
6.03, 0.545103, , 
6.06, 0.536181, , 
6.09, 0.528720, , 
6.12, 0.521441, , 
6.15, 0.513178, , 
6.18, 0.506317, , 
6.21, 0.499741, , 
6.24, 0.493391, , 
6.27, 0.487124, , 
6.30, 0.479952, , 
6.33, 0.474014, , 
6.36, 0.467207, , 
6.39, 0.462449, 2, 0.585
6.39, 0.461504, , 
6.42, 0.456981, , 
6.45, 0.451005, , 
6.48, 0.446003, , 
6.51, 0.440081, , 
6.54, 0.434907, , 
6.57, 0.429740, , 
6.60, 0.423767, , 
6.63, 0.419622, , 
6.66, 0.413773, , 
6.69, 0.408786, , 
6.72, 0.403851, , 
6.75, 0.398071, , 
6.78, 0.393161, , 
6.81, 0.387576, , 
6.84, 0.383630, , 
6.87, 0.378945, , 
6.90, 0.373492, , 
6.93, 0.368693, , 
6.96, 0.362907, , 
6.99, 0.357905, , 
7.02, 0.353046, , 
7.05, 0.348418, , 
7.08, 0.343987, , 
7.11, 0.338988, , 
7.14, 0.334791, , 
7.17, 0.330741, , 
7.20, 0.326122, , 
7.24, 0.322237, , 
7.26, 0.318481, , 
7.29, 0.314859, , 
7.32, 0.311329, , 
7.35, 0.307303, , 
7.38, 0.303928, , 
7.41, 0.300040, , 
7.45, 0.296804, , 
7.47, 0.294162, , 
7.50, 0.290410, , 
7.53, 0.287181, , 
7.56, 0.283311, , 
7.59, 0.279968, , 
7.62, 0.276612, , 
7.65, 0.273158, , 
7.68, 0.269691, , 
7.71, 0.265719, , 
7.74, 0.262268, , 
7.77, 0.258754, , 
7.80, 0.254618, , 
7.83, 0.251195, , 
7.86, 0.247877, , 
7.89, 0.244356, , 
7.92, 0.240747, , 
7.95, 0.236626, , 
7.98, 0.233093, , 
8.01, 0.229639, , 
8.04, 0.225743, , 
8.07, 0.222597, , 
8.10, 0.219526, , 
8.13, 0.216519, , 
8.16, 0.213516, , 
8.19, 0.210144, , 
8.22, 0.207356, , 
8.25, 0.204292, , 
8.28, 0.201833, , 
8.31, 0.199832, , 
8.34, 0.197091, , 
8.37, 0.194842, , 
8.40, 0.192311, , 
8.43, 0.190180, , 
8.46, 0.188029, , 
8.49, 0.185495, , 
8.52, 0.183766, , 
8.55, 0.181403, , 
8.58, 0.179316, , 
8.61, 0.177149, , 
8.64, 0.174644, , 
8.67, 0.172506, , 
8.70, 0.169933, , 
8.73, 0.168106, , 
8.76, 0.165924, , 
8.79, 0.163415, , 
8.82, 0.161264, , 
8.85, 0.158800, , 
8.88, 0.156735, , 
8.91, 0.154695, , 
8.94, 0.152595, , 
8.97, 0.150496, , 
9.00, 0.148240, , 
9.03, 0.146426, , 
9.06, 0.144672, , 
9.09, 0.142775, , 
9.12, 0.141186, , 
9.15, 0.139702, , 
9.18, 0.138347, , 
9.21, 0.137062, , 
9.24, 0.135622, , 
9.27, 0.134347, , 
9.30, 0.132955, , 
9.33, 0.131867, , 
9.36, 0.130976, , 
9.39, 0.129729, , 
9.42, 0.128619, , 
9.45, 0.127325, , 
9.48, 0.126313, , 
9.51, 0.125272, , 
9.54, 0.123972, , 
9.57, 0.123020, , 
9.59, 0.122275, 3, 0.586
9.60, 0.121726, , 
9.63, 0.120626, , 
9.66, 0.119487, , 
9.69, 0.118215, , 
9.72, 0.117187, , 
9.76, 0.115880, , 
9.78, 0.114935, , 
9.81, 0.113838, , 
9.84, 0.112569, , 
9.87, 0.111440, , 
9.90, 0.110133, , 
9.93, 0.109118, , 
9.96, 0.108249, , 
9.99, 0.107433, , 
10.02, 0.106602, , 
10.05, 0.105629, , 
10.08, 0.104798, , 
10.11, 0.103986, , 
10.14, 0.103082, , 
10.17, 0.102498, , 
10.20, 0.101787, , 
10.23, 0.101118, , 
10.26, 0.100465, , 
10.29, 0.099776, , 
10.32, 0.099152, , 
10.35, 0.098317, , 
10.38, 0.097724, , 
10.41, 0.097036, , 
10.44, 0.096256, , 
10.47, 0.095583, , 
10.50, 0.094828, , 
10.53, 0.094064, , 
10.56, 0.093191, , 
10.59, 0.092443, , 
10.62, 0.091577, , 
10.65, 0.090873, , 
10.68, 0.090191, , 
10.71, 0.089512, , 
10.74, 0.088852, , 
10.77, 0.088059, , 
10.80, 0.087292, , 
10.83, 0.086505, , 
10.86, 0.085703, , 
10.90, 0.085160, , 
10.92, 0.084548, , 
10.95, 0.083939, , 
10.98, 0.083349, , 
11.01, 0.082667, , 
11.04, 0.082137, , 
11.07, 0.081474, , 
11.10, 0.080941, , 
11.13, 0.080558, , 
11.16, 0.080060, , 
11.19, 0.079571, , 
11.22, 0.079051, , 
11.25, 0.078632, , 
11.28, 0.078122, , 
11.32, 0.077443, , 
11.34, 0.077011, , 
11.37, 0.076428, , 
11.40, 0.075911, , 
11.43, 0.075397, , 
11.46, 0.074905, , 
11.49, 0.074499, , 
11.52, 0.074023, , 
11.55, 0.073557, , 
11.58, 0.073142, , 
11.61, 0.072663, , 
11.64, 0.072152, , 
11.67, 0.071676, , 
11.70, 0.071254, , 
11.73, 0.070867, , 
11.76, 0.070119, , 
11.79, 0.069554, , 
11.82, 0.069021, , 
11.85, 0.068539, , 
11.88, 0.068155, , 
11.91, 0.067829, , 
11.94, 0.067594, , 
11.97, 0.067150, , 
12.00, 0.066706, , 
12.03, 0.066249, , 
12.06, 0.065970, , 
12.09, 0.065650, , 
12.12, 0.065218, , 
12.15, 0.064942, , 
12.18, 0.064628, , 
12.21, 0.064267, , 
12.24, 0.064029, , 
12.27, 0.063803, , 
12.30, 0.063604, , 
12.33, 0.063337, , 
12.36, 0.063001, , 
12.39, 0.062715, , 
12.42, 0.062478, , 
12.45, 0.062157, , 
12.48, 0.061818, , 
12.51, 0.061520, , 
12.54, 0.061272, , 
12.57, 0.060996, , 
12.60, 0.060720, , 
12.63, 0.060470, , 
12.66, 0.060187, , 
12.69, 0.059921, , 
12.72, 0.059582, , 
12.75, 0.059274, , 
12.78, 0.058979, , 
12.79, 0.058941, 4, 0.585
12.81, 0.058770, , 
12.84, 0.058617, , 
12.87, 0.058468, , 
12.90, 0.058259, , 
12.93, 0.058021, , 
12.96, 0.057748, , 
12.99, 0.057558, , 
13.02, 0.057403, , 
13.05, 0.057199, , 
13.08, 0.057012, , 
13.11, 0.056870, , 
13.14, 0.056663, , 
13.17, 0.056400, , 
13.20, 0.056238, , 
13.23, 0.056118, , 
13.26, 0.055934, , 
13.29, 0.055693, , 
13.32, 0.055512, , 
13.35, 0.055369, , 
13.38, 0.055176, , 
13.41, 0.054989, , 
13.44, 0.054859, , 
13.47, 0.054586, , 
13.50, 0.054408, , 
13.53, 0.054265, , 
13.56, 0.054120, , 
13.59, 0.053983, , 
13.62, 0.053834, , 
13.65, 0.053660, , 
13.68, 0.053492, , 
13.71, 0.053422, , 
13.74, 0.053311, , 
13.77, 0.053127, , 
13.80, 0.053028, , 
13.83, 0.052955, , 
13.86, 0.052829, , 
13.89, 0.052746, , 
13.92, 0.052711, , 
13.95, 0.052660, , 
13.98, 0.052505, , 
14.01, 0.052394, , 
14.04, 0.052372, , 
14.07, 0.052324, , 
14.10, 0.052258, , 
14.13, 0.052232, , 
14.16, 0.052245, , 
14.19, 0.052153, , 
14.22, 0.051988, , 
14.25, 0.051909, , 
14.28, 0.051861, , 
14.31, 0.051823, , 
14.34, 0.051779, , 
14.37, 0.051807, , 
14.40, 0.051937, , 
14.43, 0.052055, , 
14.46, 0.052156, , 
14.49, 0.052235, , 
14.52, 0.052308, , 
14.55, 0.052312, , 
14.58, 0.052346, , 
14.61, 0.052432, , 
14.64, 0.052537, , 
14.67, 0.052660, , 
14.70, 0.052797, , 
14.73, 0.053003, , 
14.76, 0.053155, , 
14.79, 0.053282, , 
14.82, 0.053441, , 
14.85, 0.053631, , 
14.88, 0.053831, , 
14.91, 0.054018, , 
14.94, 0.054129, , 
14.97, 0.054357, , 
15.00, 0.054560, , 
15.03, 0.054697, , 
15.06, 0.054951, , 
15.09, 0.055150, , 
15.12, 0.055490, , 
15.15, 0.055772, , 
15.18, 0.056029, , 
15.21, 0.056400, , 
15.24, 0.056622, , 
15.27, 0.056911, , 
15.30, 0.057225, , 
15.33, 0.057558, , 
15.36, 0.057853, , 
15.39, 0.058084, , 
15.42, 0.058475, , 
15.45, 0.058792, , 
15.48, 0.059176, , 
15.51, 0.059639, , 
15.54, 0.060070, , 
15.57, 0.060511, , 
15.60, 0.060990, , 
15.63, 0.061364, , 
15.66, 0.061723, , 
15.69, 0.062059, , 
15.72, 0.062373, , 
15.75, 0.062779, , 
15.78, 0.063185, , 
15.81, 0.063689, , 
15.84, 0.064060, , 
15.87, 0.064352, , 
15.90, 0.064730, , 
15.93, 0.065028, , 
15.96, 0.065370, , 
15.99, 0.065634, 5, 0.585
15.99, 0.065684, , 
16.02, 0.065979, , 
16.05, 0.066233, , 
16.08, 0.066481, , 
16.11, 0.066779, , 
16.14, 0.067105, , 
16.18, 0.067277, , 
16.20, 0.067400, , 
16.23, 0.067572, , 
16.26, 0.067753, , 
16.29, 0.067936, , 
16.32, 0.068076, , 
16.35, 0.068225, , 
16.38, 0.068333, , 
16.41, 0.068393, , 
16.44, 0.068428, , 
16.47, 0.068463, , 
16.50, 0.068561, , 
16.53, 0.068701, , 
16.56, 0.068806, , 
16.59, 0.068847, , 
16.62, 0.068793, , 
16.65, 0.068676, , 
16.68, 0.068574, , 
16.71, 0.068542, , 
16.74, 0.068530, , 
16.77, 0.068415, , 
16.80, 0.068257, , 
16.83, 0.068149, , 
16.86, 0.068108, , 
16.89, 0.067889, , 
16.92, 0.067695, , 
16.95, 0.067527, , 
16.98, 0.067232, , 
17.01, 0.067071, , 
17.04, 0.066836, , 
17.07, 0.066652, , 
17.10, 0.066452, , 
17.13, 0.066113, , 
17.16, 0.065808, , 
17.19, 0.065577, , 
17.22, 0.065313, , 
17.25, 0.065034, , 
17.29, 0.064803, , 
17.31, 0.064558, , 
17.34, 0.064314, , 
17.37, 0.063934, , 
17.40, 0.063677, , 
17.43, 0.063404, , 
17.46, 0.063049, , 
17.49, 0.062792, , 
17.52, 0.062474, , 
17.55, 0.062224, , 
17.58, 0.061945, , 
17.61, 0.061567, , 
17.64, 0.061209, , 
17.67, 0.060873, , 
17.70, 0.060600, , 
17.73, 0.060254, , 
17.76, 0.059832, , 
17.79, 0.059461, , 
17.82, 0.059027, , 
17.85, 0.058586, , 
17.88, 0.058237, , 
17.91, 0.057910, , 
17.94, 0.057571, , 
17.97, 0.057222, , 
18.00, 0.056870, , 
18.03, 0.056537, , 
18.06, 0.056140, , 
18.09, 0.055772, , 
18.12, 0.055506, , 
18.15, 0.055185, , 
18.18, 0.054840, , 
18.21, 0.054462, , 
18.24, 0.054218, , 
18.27, 0.053970, , 
18.30, 0.053558, , 
18.33, 0.053269, , 
18.36, 0.053003, , 
18.39, 0.052727, , 
18.42, 0.052365, , 
18.45, 0.052055, , 
18.48, 0.051810, , 
18.51, 0.051506, , 
18.54, 0.051252, , 
18.57, 0.051030, , 
18.60, 0.050849, , 
18.63, 0.050618, , 
18.66, 0.050329, , 
18.69, 0.050085, , 
18.72, 0.049936, , 
18.75, 0.049685, , 
18.78, 0.049393, , 
18.81, 0.049146, , 
18.84, 0.048965, , 
18.87, 0.048718, , 
18.90, 0.048432, , 
18.93, 0.048248, , 
18.96, 0.048014, , 
18.99, 0.047845, , 
19.02, 0.047684, , 
19.05, 0.047512, , 
19.08, 0.047341, , 
19.11, 0.047033, , 
19.14, 0.046869, , 
19.17, 0.046773, , 
19.19, 0.046678, 6, 0.586
19.20, 0.046589, , 
19.23, 0.046424, , 
19.26, 0.046288, , 
19.29, 0.046161, , 
19.32, 0.045980, , 
19.35, 0.045796, , 
19.38, 0.045739, , 
19.41, 0.045625, , 
19.44, 0.045473, , 
19.47, 0.045343, , 
19.50, 0.045210, , 
19.53, 0.045162, , 
19.56, 0.044997, , 
19.59, 0.044854, , 
19.62, 0.044731, , 
19.65, 0.044661, , 
19.68, 0.044559, , 
19.71, 0.044379, , 
19.74, 0.044325, , 
19.77, 0.044252, , 
19.80, 0.044166, , 
19.83, 0.043973, , 
19.86, 0.043893, , 
19.89, 0.043779, , 
19.92, 0.043617, , 
19.95, 0.043424, , 
19.98, 0.043344, , 
20.01, 0.043272, , 
20.04, 0.043135, , 
20.07, 0.042891, , 
20.10, 0.042793, , 
20.13, 0.042764, , 
20.16, 0.042643, , 
20.19, 0.042463, , 
20.22, 0.042364, , 
20.25, 0.042288, , 
20.28, 0.042082, , 
20.31, 0.041885, , 
20.34, 0.041816, , 
20.37, 0.041759, , 
20.40, 0.041619, , 
20.43, 0.041425, , 
20.46, 0.041318, , 
20.49, 0.041273, , 
20.52, 0.041086, , 
20.55, 0.040927, , 
20.58, 0.040842, , 
20.61, 0.040750, , 
20.64, 0.040658, , 
20.67, 0.040604, , 
20.70, 0.040525, , 
20.73, 0.040372, , 
20.76, 0.040223, , 
20.79, 0.040179, , 
20.82, 0.040090, , 
20.85, 0.039906, , 
20.88, 0.039706, , 
20.91, 0.039611, , 
20.94, 0.039614, , 
20.97, 0.039624, , 
21.00, 0.039551, , 
21.03, 0.039468, , 
21.06, 0.039326, , 
21.09, 0.039227, , 
21.12, 0.039161, , 
21.15, 0.039145, , 
21.18, 0.039113, , 
21.21, 0.038977, , 
21.24, 0.038856, , 
21.27, 0.038767, , 
21.30, 0.038682, , 
21.33, 0.038577, , 
21.36, 0.038536, , 
21.39, 0.038593, , 
21.42, 0.038583, , 
21.45, 0.038536, , 
21.48, 0.038552, , 
21.51, 0.038574, , 
21.54, 0.038574, , 
21.57, 0.038574, , 
21.60, 0.038533, , 
21.63, 0.038561, , 
21.66, 0.038545, , 
21.69, 0.038571, , 
21.72, 0.038669, , 
21.75, 0.038809, , 
21.78, 0.038967, , 
21.81, 0.039008, , 
21.84, 0.039126, , 
21.87, 0.039361, , 
21.90, 0.039538, , 
21.93, 0.039668, , 
21.96, 0.039871, , 
21.99, 0.040211, , 
22.02, 0.040496, , 
22.05, 0.040763, , 
22.08, 0.041140, , 
22.11, 0.041410, , 
22.14, 0.041835, , 
22.17, 0.042209, , 
22.20, 0.042672, , 
22.23, 0.043265, , 
22.26, 0.043823, , 
22.29, 0.044540, , 
22.32, 0.045095, , 
22.35, 0.045774, , 
22.38, 0.046554, , 
22.39, 0.046694, 7, 0.586
22.41, 0.047243, , 
22.44, 0.048121, , 
22.47, 0.049175, , 
22.50, 0.050018, , 
22.53, 0.050856, , 
22.56, 0.051883, , 
22.59, 0.052838, , 
22.62, 0.053806, , 
22.65, 0.054824, , 
22.68, 0.055905, , 
22.71, 0.057165, , 
22.74, 0.058259, , 
22.77, 0.059620, , 
22.80, 0.060765, , 
22.83, 0.061707, , 
22.86, 0.063093, , 
22.89, 0.064311, , 
22.92, 0.065748, , 
22.95, 0.066915, , 
22.98, 0.068044, , 
23.01, 0.069469, , 
23.04, 0.070395, , 
23.07, 0.071714, , 
23.10, 0.072767, , 
23.13, 0.073871, , 
23.16, 0.075188, , 
23.19, 0.076161, , 
23.22, 0.077475, , 
23.25, 0.078344, , 
23.28, 0.079336, , 
23.31, 0.080390, , 
23.34, 0.081271, , 
23.37, 0.082331, , 
23.40, 0.083194, , 
23.43, 0.083936, , 
23.46, 0.084576, , 
23.49, 0.085230, , 
23.52, 0.086102, , 
23.55, 0.086711, , 
23.58, 0.087276, , 
23.61, 0.087888, , 
23.64, 0.088383, , 
23.67, 0.088836, , 
23.70, 0.089230, , 
23.73, 0.089550, , 
23.76, 0.089896, , 
23.79, 0.090080, , 
23.82, 0.090340, , 
23.85, 0.090594, , 
23.88, 0.090730, , 
23.91, 0.090778, , 
23.94, 0.090806, , 
23.97, 0.090841, , 
24.00, 0.090860, , 
24.03, 0.090841, , 
24.06, 0.090816, , 
24.09, 0.090667, , 
24.12, 0.090587, , 
24.15, 0.090432, , 
24.18, 0.090283, , 
24.21, 0.090134, , 
24.24, 0.089889, , 
24.27, 0.089598, , 
24.30, 0.089252, , 
24.34, 0.089030, , 
24.36, 0.088830, , 
24.39, 0.088519, , 
24.42, 0.088246, , 
24.45, 0.087958, , 
24.48, 0.087568, , 
24.51, 0.087095, , 
24.54, 0.086778, , 
24.57, 0.086467, , 
24.60, 0.086150, , 
24.63, 0.085718, , 
24.66, 0.085316, , 
24.69, 0.085014, , 
24.72, 0.084687, , 
24.75, 0.084332, , 
24.78, 0.084006, , 
24.81, 0.083571, , 
24.84, 0.083155, , 
24.87, 0.082730, , 
24.90, 0.082321, , 
24.93, 0.081887, , 
24.96, 0.081351, , 
24.99, 0.080878, , 
25.02, 0.080339, , 
25.05, 0.079987, , 
25.08, 0.079603, , 
25.11, 0.079095, , 
25.14, 0.078807, , 
25.17, 0.078464, , 
25.20, 0.078068, , 
25.23, 0.077719, , 
25.26, 0.077275, , 
25.29, 0.076897, , 
25.32, 0.076342, , 
25.35, 0.075876, , 
25.38, 0.075470, , 
25.41, 0.074997, , 
25.44, 0.074553, , 
25.47, 0.074008, , 
25.50, 0.073684, , 
25.53, 0.073208, , 
25.56, 0.072656, , 
25.59, 0.072193, 8, 0.586
25.60, 0.072117, , 
25.62, 0.071787, , 
25.65, 0.071340, , 
25.68, 0.070902, , 
25.71, 0.070474, , 
25.74, 0.069979, , 
25.77, 0.069618, , 
25.80, 0.069050, , 
25.83, 0.068637, , 
25.86, 0.068222, , 
25.89, 0.067695, , 
25.92, 0.067245, , 
25.95, 0.066715, , 
25.98, 0.066357, , 
26.01, 0.065989, , 
26.04, 0.065389, , 
26.07, 0.065063, , 
26.10, 0.064796, , 
26.13, 0.064435, , 
26.16, 0.064064, , 
26.19, 0.063629, , 
26.22, 0.063347, , 
26.25, 0.063007, , 
26.28, 0.062617, , 
26.31, 0.062271, , 
26.34, 0.062011, , 
26.37, 0.061716, , 
26.40, 0.061371, , 
26.43, 0.061145, , 
26.46, 0.060888, , 
26.49, 0.060559, , 
26.52, 0.060257, , 
26.55, 0.060080, , 
26.58, 0.059889, , 
26.61, 0.059604, , 
26.64, 0.059379, , 
26.67, 0.059191, , 
26.70, 0.058963, , 
26.73, 0.058713, , 
26.76, 0.058490, , 
26.79, 0.058360, , 
26.82, 0.058211, , 
26.85, 0.057989, , 
26.88, 0.057777, , 
26.91, 0.057577, , 
26.94, 0.057447, , 
26.97, 0.057317, , 
27.00, 0.057155, , 
27.03, 0.057079, , 
27.06, 0.056958, , 
27.09, 0.056787, , 
27.12, 0.056698, , 
27.15, 0.056641, , 
27.18, 0.056641, , 
27.21, 0.056594, , 
27.24, 0.056476, , 
27.27, 0.056397, , 
27.30, 0.056308, , 
27.33, 0.056251, , 
27.36, 0.056349, , 
27.39, 0.056530, , 
27.42, 0.056575, , 
27.45, 0.056537, , 
27.48, 0.056587, , 
27.51, 0.056743, , 
27.54, 0.056946, , 
27.57, 0.057028, , 
27.60, 0.057146, , 
27.63, 0.057330, , 
27.66, 0.057545, , 
27.69, 0.057691, , 
27.72, 0.057935, , 
27.75, 0.058275, , 
27.78, 0.058551, , 
27.81, 0.058763, , 
27.84, 0.059004, , 
