Gradient Profiler Text Data File: 2025_1_28_C1_WH.csv
Date: 2025-01-28
Time: 17:17:45

User: Jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.071981, 0, 0.000
0.03, 0.072044, , 
0.06, 0.072101, , 
0.09, 0.072025, , 
0.12, 0.072050, , 
0.15, 0.072050, , 
0.18, 0.072044, , 
0.21, 0.071971, , 
0.25, 0.072025, , 
0.27, 0.072108, , 
0.30, 0.071984, , 
0.33, 0.071870, , 
0.36, 0.072012, , 
0.39, 0.072079, , 
0.42, 0.072009, , 
0.45, 0.071857, , 
0.48, 0.071844, , 
0.51, 0.071946, , 
0.54, 0.072057, , 
0.57, 0.072342, , 
0.60, 0.072831, , 
0.63, 0.073211, , 
0.66, 0.073376, , 
0.69, 0.073570, , 
0.72, 0.073789, , 
0.75, 0.074265, , 
0.78, 0.074763, , 
0.82, 0.076802, , 
0.84, 0.082569, , 
0.87, 0.097147, , 
0.90, 0.134684, , 
0.93, 0.190100, , 
0.96, 0.264726, , 
0.99, 0.367754, , 
1.02, 0.447652, , 
1.05, 0.547251, , 
1.08, 0.666801, , 
1.11, 0.770729, , 
1.14, 0.875099, , 
1.17, 0.997650, , 
1.20, 1.103059, , 
1.23, 1.208545, , 
1.26, 1.331908, , 
1.29, 1.437737, , 
1.32, 1.525624, , 
