Gradient Profiler Text Data File: 2025_1_28_C5_SH.csv
Date: 2025-01-28
Time: 18:20:59

User: Jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.072390, 0, 0.000
0.03, 0.072409, , 
0.06, 0.072317, , 
0.09, 0.072282, , 
0.12, 0.072368, , 
0.15, 0.072399, , 
0.18, 0.072330, , 
0.21, 0.072345, , 
0.24, 0.072425, , 
0.27, 0.072422, , 
0.30, 0.072349, , 
0.33, 0.072393, , 
0.36, 0.072444, , 
0.39, 0.072365, , 
0.42, 0.072301, , 
0.45, 0.072323, , 
0.48, 0.072472, , 
0.51, 0.072460, , 
0.54, 0.072336, , 
0.57, 0.072387, , 
0.60, 0.072437, , 
0.63, 0.072450, , 
0.66, 0.072437, , 
0.69, 0.072393, , 
0.72, 0.072457, , 
0.75, 0.072384, , 
0.78, 0.072276, , 
0.81, 0.072292, , 
0.84, 0.072637, , 
0.87, 0.074417, , 
0.90, 0.080589, , 
0.93, 0.096151, , 
0.97, 0.133180, , 
0.99, 0.182202, , 
1.02, 0.243681, , 
1.05, 0.325139, , 
1.08, 0.399442, , 
1.11, 0.476009, , 
1.14, 0.567180, , 
1.17, 0.632982, , 
1.20, 0.712394, , 
1.23, 0.805640, , 
1.26, 0.886273, , 
1.29, 0.967472, , 
1.32, 1.062950, , 
1.35, 1.145278, , 
1.38, 1.227555, , 
1.41, 1.308230, , 
1.44, 1.395597, , 
1.47, 1.458643, , 
1.50, 1.513124, , 
1.53, 1.544307, , 
1.56, 1.565267, , 
1.59, 1.580128, , 
1.62, 1.591626, , 
1.65, 1.602785, , 
1.68, 1.611038, , 
1.71, 1.618664, , 
1.74, 1.627367, , 
1.77, 1.634539, , 
1.80, 1.640087, , 
1.83, 1.647592, , 
1.86, 1.653745, , 
1.89, 1.660498, , 
1.92, 1.665786, , 
1.95, 1.670915, , 
1.98, 1.676586, , 
2.01, 1.680358, , 
2.04, 1.685350, , 
2.07, 1.689420, , 
2.10, 1.693375, , 
2.13, 1.697851, , 
2.16, 1.701492, , 
2.19, 1.704896, , 
2.22, 1.708350, , 
2.25, 1.712080, , 
2.28, 1.714938, , 
2.31, 1.717771, , 
2.34, 1.721016, , 
2.37, 1.723125, , 
2.40, 1.725628, , 
2.43, 1.727616, , 
2.46, 1.729583, , 
2.49, 1.731591, , 
2.52, 1.733056, , 
2.55, 1.734512, , 
2.58, 1.735921, , 
2.61, 1.737062, , 
2.64, 1.737992, , 
2.67, 1.738601, , 
2.70, 1.739213, , 
2.73, 1.739276, , 
2.76, 1.739219, , 
2.79, 1.739007, , 
2.82, 1.738810, , 
2.85, 1.738385, , 
2.88, 1.737729, , 
2.91, 1.736948, , 
2.94, 1.736003, , 
2.97, 1.734890, , 
3.00, 1.733596, , 
3.03, 1.732203, , 
3.06, 1.730576, , 
3.09, 1.728219, , 
3.12, 1.726015, , 
3.15, 1.723268, , 
3.18, 1.720587, 1, 0.582
3.19, 1.720093, , 
3.21, 1.718012, , 
3.24, 1.714190, , 
3.27, 1.710710, , 
3.30, 1.706120, , 
3.33, 1.701765, , 
3.36, 1.697144, , 
3.40, 1.691314, , 
3.42, 1.686911, , 
3.45, 1.679907, , 
3.48, 1.673389, , 
3.51, 1.666738, , 
3.54, 1.659563, , 
3.57, 1.650456, , 
3.60, 1.642203, , 
3.63, 1.632037, , 
3.66, 1.622740, , 
3.69, 1.614566, , 
3.72, 1.602709, , 
3.75, 1.592105, , 
3.78, 1.579195, , 
3.81, 1.567624, , 
3.84, 1.555672, , 
3.87, 1.541468, , 
3.90, 1.530865, , 
3.93, 1.517809, , 
3.96, 1.502622, , 
3.99, 1.489439, , 
4.02, 1.473551, , 
4.05, 1.459788, , 
4.08, 1.446028, , 
4.11, 1.432176, , 
4.14, 1.418105, , 
4.17, 1.401726, , 
4.20, 1.387826, , 
4.23, 1.373819, , 
4.26, 1.357274, , 
4.29, 1.343375, , 
4.32, 1.329589, , 
4.35, 1.315804, , 
4.38, 1.301987, , 
4.41, 1.288259, , 
4.44, 1.272644, , 
4.47, 1.259372, , 
4.50, 1.243865, , 
4.53, 1.230752, , 
4.56, 1.217858, , 
4.59, 1.202871, , 
4.62, 1.192245, , 
4.65, 1.177612, , 
4.68, 1.165309, , 
4.71, 1.153100, , 
4.74, 1.138864, , 
4.77, 1.126947, , 
4.80, 1.113263, , 
4.83, 1.101486, , 
4.86, 1.089861, , 
4.89, 1.078528, , 
4.92, 1.067321, , 
4.95, 1.056131, , 
4.98, 1.043230, , 
5.01, 1.032468, , 
5.04, 1.021883, , 
5.07, 1.011302, , 
5.10, 0.999036, , 
5.13, 0.988762, , 
5.16, 0.976911, , 
5.19, 0.968500, , 
5.22, 0.958441, , 
5.25, 0.946892, , 
5.28, 0.937110, , 
5.31, 0.927372, , 
5.34, 0.916128, , 
5.37, 0.906707, , 
5.40, 0.897353, , 
5.43, 0.886476, , 
5.46, 0.877281, , 
5.49, 0.868260, , 
5.52, 0.859236, , 
5.55, 0.850212, , 
5.58, 0.841311, , 
