Gradient Profiler Text Data File: 1-C1_SH_mock_PFA_052325.csv
Date: 2025-05-23
Time: 14:50:29

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.080513, 0, 0.000
0.03, 0.080539, , 
0.06, 0.080554, , 
0.09, 0.080520, , 
0.13, 0.080520, , 
0.15, 0.080545, , 
0.18, 0.080535, , 
0.21, 0.080526, , 
0.24, 0.080551, , 
0.27, 0.080612, , 
0.30, 0.080583, , 
0.33, 0.080561, , 
0.36, 0.080583, , 
0.39, 0.080735, , 
0.42, 0.080862, , 
0.45, 0.080888, , 
0.48, 0.080992, , 
0.51, 0.081052, , 
0.54, 0.081246, , 
0.57, 0.082194, , 
0.60, 0.085709, , 
0.63, 0.099659, , 
0.66, 0.128793, , 
0.69, 0.188660, , 
0.72, 0.258649, , 
0.75, 0.339962, , 
0.78, 0.427697, , 
0.81, 0.519090, , 
0.84, 0.628100, , 
0.87, 0.722738, , 
0.90, 0.818296, , 
0.93, 0.930773, , 
0.96, 1.011771, , 
0.99, 1.125815, , 
1.02, 1.223977, , 
1.05, 1.322579, , 
1.08, 1.420951, , 
1.11, 1.535036, , 
1.14, 1.628871, , 
1.17, 1.712934, , 
1.20, 1.789460, , 
1.23, 1.834146, , 
1.26, 1.863331, , 
1.29, 1.884922, , 
1.33, 1.897366, , 
1.35, 1.906837, , 
1.38, 1.914713, , 
1.41, 1.921726, , 
1.44, 1.929025, , 
1.47, 1.934617, , 
1.50, 1.940675, , 
1.53, 1.944903, , 
1.56, 1.949877, , 
1.59, 1.955526, , 
1.62, 1.960126, , 
1.65, 1.965175, , 
1.68, 1.969121, , 
1.71, 1.972737, , 
1.74, 1.976087, , 
1.77, 1.979202, , 
1.80, 1.982466, , 
1.83, 1.984667, , 
1.86, 1.986364, , 
1.89, 1.987832, , 
1.92, 1.988673, , 
1.95, 1.988981, , 
1.98, 1.988533, , 
2.02, 1.987572, , 
2.04, 1.986465, , 
2.07, 1.984629, , 
2.10, 1.982824, , 
2.13, 1.980864, , 
2.16, 1.978196, , 
2.19, 1.975424, , 
2.22, 1.972122, , 
2.25, 1.968411, , 
2.28, 1.963729, , 
2.31, 1.959431, , 
2.34, 1.954124, , 
2.37, 1.949519, , 
2.40, 1.944716, , 
2.43, 1.939489, , 
2.46, 1.933957, , 
2.49, 1.928362, , 
2.52, 1.921818, , 
2.55, 1.915998, , 
2.58, 1.908674, , 
2.61, 1.901854, , 
2.64, 1.895869, , 
2.67, 1.886968, , 
2.70, 1.879010, , 
2.73, 1.869545, , 
2.76, 1.861183, , 
2.79, 1.852492, , 
2.82, 1.841981, , 
2.85, 1.834314, , 
2.88, 1.823244, , 
2.91, 1.813401, , 
2.94, 1.803429, , 
2.97, 1.793336, , 
3.00, 1.781368, , 
3.03, 1.770796, , 
3.06, 1.758257, , 
3.09, 1.747308, , 
3.12, 1.736076, , 
3.15, 1.722770, , 
3.19, 1.711306, , 
3.19, 1.709365, 1, 0.584
3.21, 1.701657, , 
3.24, 1.687917, , 
3.27, 1.675981, , 
3.30, 1.661872, , 
3.33, 1.651718, , 
3.36, 1.637422, , 
3.39, 1.624998, , 
