Gradient Profiler Text Data File: 5-C5_WH_mock_PFA_052325.csv
Date: 2025-05-23
Time: 15:43:06

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.078518, 0, 0.000
0.03, 0.078540, , 
0.07, 0.078572, , 
0.09, 0.078537, , 
0.12, 0.078528, , 
0.15, 0.078550, , 
0.18, 0.078553, , 
0.21, 0.078572, , 
0.24, 0.078654, , 
0.28, 0.078851, , 
0.30, 0.079045, , 
0.33, 0.079203, , 
0.36, 0.079406, , 
0.39, 0.079669, , 
0.42, 0.079822, , 
0.45, 0.079933, , 
0.48, 0.080126, , 
0.51, 0.080488, , 
0.54, 0.082007, , 
0.57, 0.086825, , 
0.60, 0.103897, , 
0.63, 0.136679, , 
0.66, 0.189228, , 
0.69, 0.258589, , 
0.73, 0.353763, , 
0.75, 0.427231, , 
0.78, 0.534408, , 
0.81, 0.628490, , 
0.84, 0.723575, , 
0.87, 0.835570, , 
0.90, 0.932190, , 
0.93, 1.029344, , 
0.96, 1.126836, , 
0.99, 1.224161, , 
1.02, 1.337595, , 
1.05, 1.434492, , 
1.08, 1.530056, , 
1.11, 1.635592, , 
1.14, 1.714196, , 
1.18, 1.783392, , 
1.20, 1.817154, , 
1.23, 1.843849, , 
1.26, 1.862100, , 
1.29, 1.871232, , 
1.32, 1.877912, , 
1.35, 1.881690, , 
1.38, 1.884431, , 
1.41, 1.886499, , 
1.44, 1.888262, , 
1.47, 1.890026, , 
1.50, 1.892341, , 
1.53, 1.894628, , 
1.56, 1.897658, , 
1.59, 1.900560, , 
1.62, 1.903573, , 
1.65, 1.906688, , 
1.68, 1.909885, , 
1.71, 1.913612, , 
1.74, 1.916635, , 
1.77, 1.919480, , 
1.80, 1.922205, , 
1.83, 1.925310, , 
1.86, 1.927791, , 
1.89, 1.930033, , 
1.92, 1.932038, , 
1.95, 1.933056, , 
1.98, 1.934106, , 
2.01, 1.934994, , 
2.04, 1.936006, , 
2.07, 1.937237, , 
2.10, 1.938160, , 
2.13, 1.938899, , 
2.16, 1.939419, , 
2.19, 1.939714, , 
2.22, 1.939870, , 
2.25, 1.940057, , 
2.28, 1.940282, , 
2.31, 1.940453, , 
2.34, 1.940495, , 
2.37, 1.940460, , 
2.40, 1.940583, , 
2.43, 1.940999, , 
2.46, 1.941630, , 
2.49, 1.942303, , 
2.52, 1.942778, , 
2.55, 1.942801, , 
2.58, 1.942258, , 
2.61, 1.941364, , 
2.64, 1.939841, , 
2.67, 1.938087, , 
2.70, 1.935635, , 
2.73, 1.933519, , 
2.76, 1.930674, , 
2.79, 1.926849, , 
2.82, 1.923093, , 
2.85, 1.919005, , 
2.88, 1.914513, , 
2.91, 1.908820, , 
2.94, 1.903621, , 
2.97, 1.898216, , 
3.00, 1.891605, , 
3.03, 1.885480, , 
3.06, 1.878854, , 
3.09, 1.870623, , 
3.12, 1.864577, , 
3.15, 1.855633, , 
3.18, 1.847579, , 
3.19, 1.846202, 1, 0.583
3.21, 1.839180, , 
3.24, 1.828896, , 
3.27, 1.819561, , 
3.30, 1.809855, , 
3.34, 1.798170, , 
3.36, 1.789640, , 
3.39, 1.777349, , 
3.42, 1.766501, , 
3.45, 1.755231, , 
3.48, 1.741548, , 
3.51, 1.729450, , 
3.54, 1.717155, , 
3.57, 1.704832, , 
3.60, 1.692357, , 
3.63, 1.677560, , 
3.66, 1.664663, , 
3.69, 1.649390, , 
3.72, 1.636147, , 
3.75, 1.622749, , 
3.78, 1.609221, , 
3.81, 1.595562, , 
3.84, 1.579363, , 
3.87, 1.565378, , 
3.90, 1.551285, , 
3.93, 1.534963, , 
3.96, 1.523407, , 
3.99, 1.507300, , 
4.02, 1.493534, , 
4.05, 1.479555, , 
4.08, 1.462874, , 
4.11, 1.448109, , 
4.14, 1.430558, , 
4.17, 1.417966, , 
4.20, 1.402820, , 
4.23, 1.385013, , 
4.26, 1.369752, , 
4.29, 1.351977, , 
4.32, 1.336745, , 
4.35, 1.321507, , 
4.38, 1.306276, , 
4.41, 1.288456, , 
4.44, 1.273034, , 
4.47, 1.257504, , 
4.50, 1.241844, , 
4.53, 1.226156, , 
4.56, 1.207904, , 
4.59, 1.192479, , 
4.62, 1.177432, , 
4.65, 1.162723, , 
4.68, 1.145827, , 
4.71, 1.131458, , 
4.74, 1.117241, , 
4.77, 1.101128, , 
4.80, 1.087698, , 
4.83, 1.074598, , 
4.86, 1.061811, , 
4.89, 1.049308, , 
4.92, 1.034967, , 
4.95, 1.022911, , 
4.98, 1.009030, , 
5.01, 0.997234, , 
5.04, 0.987420, , 
5.07, 0.973625, , 
5.10, 0.961905, , 
5.13, 0.950255, , 
5.16, 0.936675, , 
5.19, 0.925092, , 
5.22, 0.911887, , 
5.25, 0.900836, , 
5.28, 0.889921, , 
5.31, 0.879118, , 
5.34, 0.868422, , 
5.37, 0.857701, , 
5.40, 0.845165, , 
5.43, 0.834396, , 
5.46, 0.821928, , 
5.49, 0.811432, , 
5.52, 0.802785, , 
5.55, 0.790960, , 
5.58, 0.781225, , 
5.61, 0.770377, , 
5.64, 0.761363, , 
5.67, 0.752580, , 
5.70, 0.742705, , 
5.73, 0.735730, , 
5.76, 0.725954, , 
5.79, 0.717685, , 
5.82, 0.709606, , 
5.85, 0.700614, , 
5.88, 0.693315, , 
5.91, 0.684989, , 
5.94, 0.679133, , 
5.97, 0.671959, , 
6.00, 0.663318, , 
6.03, 0.655880, , 
6.06, 0.647224, , 
6.09, 0.639890, , 
6.12, 0.632576, , 
6.15, 0.625245, , 
6.18, 0.617972, , 
6.21, 0.609475, , 
6.24, 0.602271, , 
6.27, 0.595252, , 
6.30, 0.587242, , 
6.33, 0.580366, , 
6.36, 0.573254, , 
6.39, 0.567063, 2, 0.586
6.39, 0.565788, , 
6.42, 0.558216, , 
6.45, 0.549690, , 
6.48, 0.542702, , 
6.51, 0.534928, , 
6.54, 0.528606, , 
6.57, 0.523474, , 
6.60, 0.516435, , 
6.63, 0.510380, , 
6.66, 0.503399, , 
6.69, 0.497588, , 
6.72, 0.491856, , 
6.76, 0.485227, , 
6.78, 0.480583, , 
6.81, 0.474245, , 
6.84, 0.468958, , 
6.87, 0.463753, , 
6.90, 0.458678, , 
6.93, 0.453679, , 
6.96, 0.447779, , 
6.99, 0.442602, , 
7.02, 0.436496, , 
7.05, 0.431301, , 
7.08, 0.426035, , 
7.12, 0.419866, , 
7.14, 0.415495, , 
7.17, 0.409405, , 
7.20, 0.404279, , 
7.23, 0.399296, , 
7.26, 0.393669, , 
7.29, 0.388908, , 
7.32, 0.384029, , 
7.35, 0.379002, , 
7.38, 0.373930, , 
7.41, 0.368011, , 
7.44, 0.363015, , 
7.48, 0.357337, , 
7.50, 0.353499, , 
7.53, 0.348263, , 
7.56, 0.343749, , 
7.59, 0.339270, , 
7.62, 0.334864, , 
7.65, 0.329872, , 
7.68, 0.325682, , 
7.71, 0.320911, , 
7.74, 0.316806, , 
7.78, 0.312756, , 
7.80, 0.308782, , 
7.83, 0.304909, , 
7.86, 0.300604, , 
7.89, 0.296998, , 
7.92, 0.293467, , 
7.95, 0.289877, , 
7.98, 0.285798, , 
8.01, 0.282305, , 
8.04, 0.278785, , 
8.07, 0.275337, , 
8.10, 0.271993, , 
8.13, 0.268149, , 
8.16, 0.264885, , 
8.19, 0.261139, , 
8.22, 0.258031, , 
8.25, 0.255464, , 
8.28, 0.251795, , 
8.31, 0.248594, , 
8.34, 0.244870, , 
8.37, 0.241635, , 
8.40, 0.238428, , 
8.43, 0.235294, , 
8.46, 0.231894, , 
8.49, 0.229033, , 
8.52, 0.226172, , 
8.55, 0.222901, , 
8.58, 0.220675, , 
8.61, 0.217718, , 
8.64, 0.215140, , 
8.67, 0.212577, , 
8.70, 0.209789, , 
8.73, 0.207556, , 
8.76, 0.205389, , 
8.79, 0.202950, , 
8.82, 0.201275, , 
8.85, 0.198985, , 
8.88, 0.197041, , 
8.91, 0.195160, , 
8.94, 0.193082, , 
8.97, 0.191274, , 
9.00, 0.189035, , 
9.03, 0.187458, , 
9.06, 0.185644, , 
9.09, 0.183534, , 
9.12, 0.181742, , 
9.15, 0.179665, , 
9.18, 0.177933, , 
9.21, 0.176198, , 
9.24, 0.174355, , 
9.27, 0.172471, , 
9.30, 0.170314, , 
9.33, 0.168461, , 
9.36, 0.166720, , 
9.39, 0.164763, , 
9.42, 0.163139, , 
9.45, 0.161505, , 
9.48, 0.159869, , 
9.51, 0.158270, , 
9.54, 0.156535, , 
9.57, 0.155095, , 
9.59, 0.154369, 3, 0.585
9.60, 0.153420, , 
9.63, 0.152078, , 
9.66, 0.150981, , 
9.69, 0.149506, , 
9.72, 0.148275, , 
9.75, 0.147102, , 
9.78, 0.145858, , 
9.81, 0.144802, , 
9.84, 0.143501, , 
9.87, 0.142531, , 
9.90, 0.141389, , 
9.93, 0.140108, , 
9.96, 0.138947, , 
9.99, 0.137630, , 
10.02, 0.136476, , 
10.05, 0.135340, , 
10.08, 0.134220, , 
10.11, 0.133151, , 
10.14, 0.132019, , 
10.17, 0.131010, , 
10.20, 0.129900, , 
10.23, 0.128670, , 
10.26, 0.127607, , 
10.29, 0.126325, , 
10.32, 0.125358, , 
10.35, 0.124178, , 
10.38, 0.122935, , 
10.41, 0.121945, , 
10.44, 0.121003, , 
10.47, 0.120074, , 
10.50, 0.118913, , 
10.53, 0.117974, , 
10.56, 0.117060, , 
10.59, 0.116067, , 
10.62, 0.115249, , 
10.65, 0.114386, , 
10.68, 0.113533, , 
10.71, 0.112613, , 
10.74, 0.111938, , 
10.77, 0.111297, , 
10.80, 0.110564, , 
10.83, 0.109768, , 
10.86, 0.109165, , 
10.89, 0.108464, , 
10.92, 0.107925, , 
10.95, 0.107288, , 
10.98, 0.106571, , 
11.01, 0.105933, , 
11.04, 0.105226, , 
11.07, 0.104715, , 
11.10, 0.104249, , 
11.13, 0.103754, , 
11.16, 0.103170, , 
11.19, 0.102466, , 
11.22, 0.101848, , 
11.25, 0.101232, , 
11.28, 0.100525, , 
11.31, 0.100033, , 
11.34, 0.099358, , 
11.37, 0.098771, , 
11.40, 0.098140, , 
11.43, 0.097394, , 
11.46, 0.096915, , 
11.49, 0.096462, , 
11.52, 0.096135, , 
11.55, 0.095742, , 
11.58, 0.095288, , 
11.61, 0.094914, , 
11.64, 0.094492, , 
11.67, 0.094178, , 
11.70, 0.093940, , 
11.73, 0.093708, , 
11.76, 0.093455, , 
11.79, 0.093252, , 
11.82, 0.093115, , 
11.85, 0.092941, , 
11.88, 0.092716, , 
11.91, 0.092605, , 
11.94, 0.092560, , 
11.97, 0.092446, , 
12.00, 0.092272, , 
12.03, 0.092135, , 
12.06, 0.092088, , 
12.09, 0.092046, , 
12.12, 0.091919, , 
12.15, 0.091770, , 
12.18, 0.091672, , 
12.21, 0.091580, , 
12.24, 0.091418, , 
12.27, 0.091260, , 
12.30, 0.091146, , 
12.33, 0.091073, , 
12.36, 0.091063, , 
12.39, 0.091035, , 
12.42, 0.091050, , 
12.45, 0.091060, , 
12.48, 0.091022, , 
12.51, 0.091019, , 
12.54, 0.091047, , 
12.57, 0.091054, , 
12.60, 0.091022, , 
12.63, 0.091006, , 
12.66, 0.091044, , 
12.69, 0.091114, , 
12.72, 0.091247, , 
12.75, 0.091339, , 
12.78, 0.091425, , 
12.79, 0.091444, 4, 0.586
12.81, 0.091501, , 
12.84, 0.091504, , 
12.87, 0.091485, , 
12.90, 0.091475, , 
12.93, 0.091450, , 
12.96, 0.091272, , 
12.99, 0.091123, , 
13.02, 0.091063, , 
13.05, 0.091047, , 
13.08, 0.090984, , 
13.11, 0.090870, , 
13.14, 0.090787, , 
13.17, 0.090565, , 
13.20, 0.090343, , 
13.23, 0.090143, , 
13.26, 0.089902, , 
13.29, 0.089702, , 
13.32, 0.089417, , 
13.35, 0.089211, , 
13.38, 0.089001, , 
13.41, 0.088770, , 
13.44, 0.088573, , 
13.47, 0.088202, , 
13.50, 0.087901, , 
13.53, 0.087593, , 
13.56, 0.087250, , 
13.59, 0.086905, , 
13.62, 0.086581, , 
13.65, 0.086362, , 
13.68, 0.086055, , 
13.71, 0.085661, , 
13.74, 0.085306, , 
13.77, 0.084967, , 
13.80, 0.084653, , 
13.83, 0.084323, , 
13.86, 0.083974, , 
13.89, 0.083590, , 
13.92, 0.083121, , 
13.95, 0.082794, , 
13.98, 0.082534, , 
14.01, 0.082137, , 
14.04, 0.081722, , 
14.07, 0.081303, , 
14.10, 0.080989, , 
14.13, 0.080700, , 
14.16, 0.080285, , 
14.19, 0.079911, , 
14.22, 0.079482, , 
14.25, 0.079035, , 
14.28, 0.078651, , 
14.31, 0.078156, , 
