Gradient Profiler Text Data File: 5-C5_eIF3b_DMSO_061825.csv
Date: 2025-06-18
Time: 15:13:16

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.079432, 0, 0.000
0.03, 0.079451, , 
0.06, 0.079463, , 
0.09, 0.079422, , 
0.12, 0.079406, , 
0.15, 0.079419, , 
0.18, 0.079641, , 
0.21, 0.080209, , 
0.24, 0.081052, , 
0.27, 0.082093, , 
0.30, 0.082800, , 
0.33, 0.083504, , 
0.36, 0.083983, , 
0.39, 0.084434, , 
0.42, 0.084868, , 
0.45, 0.085135, , 
0.48, 0.085452, , 
0.51, 0.085709, , 
0.55, 0.086454, , 
0.57, 0.088763, , 
0.60, 0.095884, , 
0.63, 0.113641, , 
0.66, 0.158197, , 
0.69, 0.219634, , 
0.72, 0.312074, , 
0.75, 0.387046, , 
0.78, 0.483086, , 
0.81, 0.599864, , 
0.84, 0.702358, , 
0.87, 0.823196, , 
0.90, 0.927496, , 
0.93, 1.032255, , 
0.96, 1.137396, , 
0.99, 1.242821, , 
1.02, 1.365778, , 
1.05, 1.471207, , 
1.08, 1.576119, , 
1.11, 1.695536, , 
1.14, 1.791017, , 
1.17, 1.872390, , 
1.20, 1.933649, , 
1.23, 1.974536, , 
1.26, 2.002525, , 
1.29, 2.015568, , 
1.32, 2.023672, , 
1.35, 2.027301, , 
1.38, 2.029036, , 
1.41, 2.030384, , 
1.44, 2.031107, , 
1.47, 2.031583, , 
1.50, 2.031935, , 
1.53, 2.032068, , 
1.56, 2.032278, , 
1.59, 2.032506, , 
1.62, 2.032585, , 
1.65, 2.032642, , 
1.68, 2.032731, , 
1.71, 2.032849, , 
1.74, 2.032925, , 
1.77, 2.032925, , 
