Gradient Profiler Text Data File: 2-C2_SH_42_012126.csv
Date: 2026-01-21
Time: 15:41:29

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.081316, 0, 0.000
0.03, 0.081338, , 
0.06, 0.081322, , 
0.09, 0.081335, , 
0.12, 0.081366, , 
0.15, 0.081373, , 
0.18, 0.081341, , 
0.21, 0.081338, , 
0.24, 0.081351, , 
0.27, 0.081376, , 
0.30, 0.081335, , 
0.33, 0.081313, , 
0.36, 0.081386, , 
0.39, 0.081389, , 
0.42, 0.081347, , 
0.45, 0.081332, , 
0.48, 0.081366, , 
0.51, 0.081363, , 
0.54, 0.081344, , 
0.57, 0.082163, , 
0.60, 0.085699, , 
0.63, 0.098498, , 
0.66, 0.117225, , 
0.69, 0.158321, , 
0.72, 0.204263, , 
0.75, 0.256343, , 
0.78, 0.321539, , 
0.81, 0.379687, , 
0.84, 0.438932, , 
0.87, 0.498397, , 
0.90, 0.558283, , 
0.93, 0.628652, , 
0.96, 0.689344, , 
0.99, 0.760570, , 
1.02, 0.821861, , 
1.05, 0.873154, , 
1.08, 0.944831, , 
1.11, 1.005081, , 
1.14, 1.070557, , 
1.17, 1.117596, , 
1.20, 1.152675, , 
1.23, 1.178907, , 
1.26, 1.190697, , 
1.29, 1.201148, , 
1.32, 1.206874, , 
1.35, 1.210905, , 
1.38, 1.214562, , 
1.41, 1.217319, , 
1.44, 1.220094, , 
1.47, 1.221867, , 
1.50, 1.223929, , 
1.53, 1.226324, , 
1.56, 1.228519, , 
1.59, 1.231396, , 
1.62, 1.234127, , 
1.65, 1.237232, , 
1.68, 1.240312, , 
1.71, 1.243509, , 
1.74, 1.247458, , 
1.77, 1.250887, , 
1.80, 1.254281, , 
1.83, 1.258170, , 
1.87, 1.261294, , 
1.89, 1.264229, , 
1.92, 1.266956, , 
1.95, 1.269516, , 
1.98, 1.272314, , 
2.01, 1.274382, , 
2.04, 1.276174, , 
2.07, 1.277113, , 
2.10, 1.278061, , 
2.13, 1.278949, , 
2.16, 1.279530, , 
2.19, 1.280288, , 
2.22, 1.281049, , 
2.25, 1.281661, , 
2.28, 1.281991, , 
2.31, 1.282128, , 
2.34, 1.282217, , 
2.37, 1.282534, , 
2.40, 1.283013, , 
2.43, 1.283780, , 
2.46, 1.284516, , 
2.49, 1.285182, , 
2.52, 1.285928, , 
2.55, 1.286924, , 
2.58, 1.288462, , 
2.61, 1.289874, , 
2.64, 1.291390, , 
2.67, 1.292456, , 
2.70, 1.293090, , 
2.73, 1.293540, , 
2.76, 1.293670, , 
2.79, 1.293851, , 
2.82, 1.294149, , 
2.85, 1.294482, , 
2.89, 1.294635, , 
2.91, 1.294597, , 
2.94, 1.294435, , 
2.97, 1.294153, , 
3.00, 1.293664, , 
3.03, 1.293007, , 
3.06, 1.292310, , 
3.09, 1.291333, , 
3.12, 1.290089, , 
3.15, 1.288659, , 
3.18, 1.286746, 1, 0.582
3.19, 1.286448, , 
3.21, 1.284932, , 
3.24, 1.282683, , 
3.27, 1.280821, , 
3.30, 1.279340, , 
3.33, 1.277103, , 
3.36, 1.275083, , 
3.39, 1.272606, , 
3.42, 1.270319, , 
3.45, 1.267740, , 
3.48, 1.264454, , 
3.51, 1.262084, , 
3.54, 1.258633, , 
3.57, 1.255575, , 
3.60, 1.252476, , 
3.63, 1.248702, , 
3.66, 1.245289, , 
3.69, 1.241086, , 
3.72, 1.237974, , 
3.75, 1.234187, , 
3.78, 1.229359, , 
3.81, 1.224805, , 
3.84, 1.218978, , 
3.87, 1.213662, , 
3.90, 1.208069, , 
3.93, 1.202287, , 
3.96, 1.196387, , 
3.99, 1.189441, , 
4.02, 1.183252, , 
4.05, 1.176788, , 
4.08, 1.168947, , 
4.11, 1.161997, , 
4.14, 1.154841, , 
4.17, 1.147628, , 
4.20, 1.140336, , 
4.23, 1.131718, , 
4.26, 1.124169, , 
4.29, 1.115224, , 
4.32, 1.108861, , 
4.35, 1.101337, , 
4.38, 1.092456, , 
4.41, 1.084726, , 
4.44, 1.075498, , 
4.47, 1.067366, , 
4.50, 1.058830, , 
4.53, 1.049961, , 
4.56, 1.040918, , 
4.59, 1.030346, , 
4.62, 1.021312, , 
4.65, 1.012323, , 
4.68, 1.002033, , 
4.71, 0.993304, , 
4.74, 0.984527, , 
4.77, 0.975798, , 
4.80, 0.967117, , 
4.83, 0.956874, , 
4.86, 0.948006, , 
4.89, 0.937719, , 
4.92, 0.929145, , 
4.95, 0.922151, , 
4.98, 0.912578, , 
5.01, 0.904607, , 
5.04, 0.895732, , 
5.07, 0.888449, , 
5.10, 0.881366, , 
5.13, 0.873510, , 
5.16, 0.868073, , 
5.19, 0.860463, , 
5.22, 0.853964, , 
5.25, 0.847579, , 
5.28, 0.840265, , 
5.31, 0.834130, , 
5.34, 0.827967, , 
5.37, 0.821702, , 
5.40, 0.815349, , 
5.43, 0.807749, , 
5.46, 0.801097, , 
5.49, 0.793307, , 
5.52, 0.786557, , 
5.55, 0.780842, , 
5.58, 0.772870, , 
5.61, 0.766035, , 
5.64, 0.758083, , 
5.67, 0.751216, , 
5.70, 0.744206, , 
5.73, 0.735857, , 
5.76, 0.729764, , 
5.79, 0.721133, , 
5.82, 0.713669, , 
5.85, 0.706269, , 
5.88, 0.697819, , 
5.91, 0.690724, , 
5.94, 0.682816, , 
5.97, 0.677427, , 
6.00, 0.671150, , 
6.03, 0.663972, , 
6.06, 0.657964, , 
6.09, 0.651132, , 
6.12, 0.645371, , 
6.15, 0.639786, , 
6.18, 0.634523, , 
6.21, 0.629575, , 
6.24, 0.624031, , 
6.27, 0.619330, , 
6.30, 0.614496, , 
6.33, 0.608650, , 
6.37, 0.603483, , 
