Gradient Profiler Text Data File: 4-C4_BY4741_30_012126.csv
Date: 2026-01-21
Time: 16:09:27

User: Karen
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.079289, 0, 0.000
0.04, 0.079333, , 
0.06, 0.079387, , 
0.09, 0.079387, , 
0.12, 0.079441, , 
0.15, 0.079552, , 
0.18, 0.079689, , 
0.21, 0.079654, , 
0.24, 0.079565, , 
0.27, 0.079527, , 
0.30, 0.079492, , 
0.33, 0.079409, , 
0.36, 0.079413, , 
0.39, 0.079451, , 
0.42, 0.079428, , 
0.45, 0.079394, , 
0.48, 0.079409, , 
0.51, 0.079511, , 
0.54, 0.080129, , 
0.57, 0.082727, , 
0.60, 0.090819, , 
0.63, 0.109467, , 
0.66, 0.142436, , 
0.69, 0.197856, , 
0.72, 0.255404, , 
0.75, 0.329221, , 
0.78, 0.395566, , 
0.82, 0.463102, , 
0.84, 0.531321, , 
0.87, 0.599756, , 
0.90, 0.679695, , 
0.93, 0.748421, , 
0.96, 0.817446, , 
0.99, 0.898390, , 
1.03, 0.968290, , 
1.05, 1.038625, , 
1.08, 1.108702, , 
1.11, 1.176115, , 
1.14, 1.245942, , 
1.17, 1.292684, , 
1.20, 1.329697, , 
1.23, 1.346562, , 
1.26, 1.361131, , 
1.29, 1.368915, , 
1.32, 1.374383, , 
1.35, 1.379363, , 
1.38, 1.382545, , 
1.41, 1.387059, , 
1.44, 1.391030, , 
1.47, 1.395613, , 
1.50, 1.399426, , 
1.53, 1.403077, , 
1.56, 1.406725, , 
1.59, 1.409056, , 
1.62, 1.411647, , 
1.65, 1.414829, , 
1.68, 1.417810, , 
1.71, 1.421382, , 
1.74, 1.424519, , 
1.77, 1.427647, , 
1.80, 1.430625, , 
1.83, 1.433378, , 
1.86, 1.436335, , 
1.89, 1.438805, , 
1.92, 1.441070, , 
1.95, 1.443062, , 
1.98, 1.444214, , 
2.01, 1.445172, , 
2.04, 1.446082, , 
2.07, 1.446980, , 
2.10, 1.448185, , 
2.13, 1.449273, , 
2.16, 1.450183, , 
2.19, 1.450488, , 
2.22, 1.450615, , 
2.25, 1.450681, , 
2.28, 1.450818, , 
2.31, 1.451014, , 
2.34, 1.451173, , 
2.37, 1.451293, , 
2.40, 1.451306, , 
2.43, 1.451293, , 
2.46, 1.451601, , 
2.49, 1.452223, , 
2.52, 1.452851, , 
2.55, 1.453580, , 
2.58, 1.453945, , 
2.61, 1.454196, , 
2.64, 1.454170, , 
2.67, 1.453961, , 
2.70, 1.453755, , 
2.73, 1.453460, , 
2.76, 1.453079, , 
2.79, 1.452372, , 
2.82, 1.451132, , 
2.85, 1.449593, , 
2.88, 1.447344, , 
2.91, 1.445264, , 
2.94, 1.443275, , 
2.97, 1.441498, , 
3.00, 1.439900, , 
3.03, 1.438399, , 
3.06, 1.436652, , 
3.09, 1.435040, , 
3.12, 1.432652, , 
3.15, 1.430292, , 
3.18, 1.428233, , 
3.18, 1.427818, 1, 0.583
3.21, 1.425420, , 
3.24, 1.423155, , 
3.27, 1.420602, , 
3.30, 1.418464, , 
3.33, 1.416386, , 
3.36, 1.413934, , 
3.39, 1.411961, , 
3.42, 1.410061, , 
3.45, 1.408130, , 
3.48, 1.405395, , 
3.51, 1.403089, , 
3.54, 1.399543, , 
3.57, 1.396197, , 
3.60, 1.392575, , 
3.63, 1.388226, , 
3.66, 1.384442, , 
3.70, 1.379731, , 
3.72, 1.376169, , 
3.75, 1.371795, , 
3.78, 1.366552, , 
3.81, 1.361984, , 
3.84, 1.356427, , 
3.87, 1.351517, , 
3.90, 1.346496, , 
3.93, 1.341367, , 
3.96, 1.336114, , 
3.99, 1.330002, , 
4.02, 1.324822, , 
4.05, 1.319601, , 
4.08, 1.313485, , 
4.11, 1.309115, , 
4.14, 1.302967, , 
4.17, 1.297629, , 
4.20, 1.291425, , 
4.23, 1.286153, , 
4.26, 1.280897, , 
4.29, 1.275444, , 
4.32, 1.268939, , 
4.35, 1.263369, , 
4.38, 1.257891, , 
4.42, 1.251423, , 
4.44, 1.246713, , 
4.47, 1.239979, , 
4.50, 1.233990, , 
4.53, 1.227758, , 
4.56, 1.220240, , 
4.59, 1.213785, , 
4.62, 1.207365, , 
4.65, 1.200958, , 
4.68, 1.194500, , 
4.71, 1.186922, , 
4.74, 1.180280, , 
4.77, 1.172445, , 
4.80, 1.165810, , 
4.83, 1.160395, , 
4.86, 1.152668, , 
4.89, 1.145820, , 
4.92, 1.137618, , 
4.95, 1.130512, , 
4.98, 1.123483, , 
5.01, 1.115360, , 
5.04, 1.109657, , 
5.07, 1.101844, , 
5.10, 1.095145, , 
5.13, 1.088196, , 
5.16, 1.079911, , 
5.19, 1.072707, , 
5.22, 1.064156, , 
5.25, 1.057983, , 
5.28, 1.050557, , 
5.31, 1.041793, , 
5.34, 1.034282, , 
5.37, 1.025559, , 
5.40, 1.018229, , 
5.43, 1.010975, , 
5.46, 1.003762, , 
5.49, 0.996473, , 
5.52, 0.987861, , 
5.55, 0.980442, , 
5.58, 0.972972, , 
5.61, 0.964268, , 
5.65, 0.956985, , 
5.67, 0.949871, , 
5.70, 0.942921, , 
5.73, 0.936155, , 
5.76, 0.928704, , 
5.79, 0.922465, , 
5.82, 0.915268, , 
5.85, 0.910158, , 
5.88, 0.904071, , 
5.91, 0.896979, , 
5.94, 0.890901, , 
5.97, 0.884840, , 
6.00, 0.877941, , 
6.03, 0.872298, , 
6.06, 0.866817, , 
6.09, 0.861510, , 
6.12, 0.855699, , 
6.15, 0.850986, , 
6.18, 0.846405, , 
6.21, 0.841470, , 
6.24, 0.837832, , 
6.27, 0.834609, , 
6.30, 0.831532, , 
6.33, 0.827735, , 
6.36, 0.824719, , 
6.38, 0.822010, 2, 0.585
6.39, 0.819831, , 
6.42, 0.815044, , 
6.45, 0.810007, , 
6.48, 0.803965, , 
6.51, 0.798700, , 
6.54, 0.793345, , 
6.57, 0.787106, , 
6.60, 0.782643, , 
6.63, 0.776119, , 
6.66, 0.770197, , 
6.69, 0.764100, , 
6.72, 0.756671, , 
6.75, 0.749744, , 
6.79, 0.740875, , 
6.81, 0.734309, , 
6.84, 0.726478, , 
6.87, 0.717749, , 
6.90, 0.710843, , 
6.93, 0.703551, , 
6.96, 0.697927, , 
6.99, 0.692551, , 
7.02, 0.687317, , 
7.05, 0.682175, , 
7.08, 0.676256, , 
7.11, 0.671232, , 
7.14, 0.666255, , 
7.17, 0.660777, , 
7.20, 0.656372, , 
7.23, 0.652156, , 
7.27, 0.647386, , 
7.29, 0.644109, , 
7.32, 0.639519, , 
7.35, 0.635386, , 
7.38, 0.631075, , 
7.41, 0.625873, , 
7.44, 0.621309, , 
7.47, 0.616589, , 
7.50, 0.611777, , 
7.53, 0.607010, , 
7.56, 0.601392, , 
7.59, 0.596374, , 
7.62, 0.590598, , 
7.65, 0.585866, , 
7.68, 0.582009, , 
7.71, 0.576616, , 
7.74, 0.571855, , 
7.77, 0.566108, , 
7.80, 0.561049, , 
7.83, 0.556053, , 
7.86, 0.550353, , 
7.89, 0.546505, , 
7.92, 0.541341, , 
7.95, 0.536961, , 
7.98, 0.532527, , 
8.01, 0.527455, , 
8.04, 0.523239, , 
8.07, 0.518472, , 
8.10, 0.515221, , 
8.13, 0.511462, , 
8.16, 0.507145, , 
8.19, 0.503316, , 
8.22, 0.498799, , 
8.25, 0.494949, , 
8.28, 0.491019, , 
8.31, 0.487035, , 
8.34, 0.482987, , 
8.37, 0.478331, , 
8.40, 0.474388, , 
8.43, 0.470388, , 
8.46, 0.465799, , 
8.49, 0.462544, , 
8.52, 0.458012, , 
8.55, 0.454189, , 
8.58, 0.450389, , 
8.61, 0.446133, , 
8.64, 0.442418, , 
8.67, 0.437870, , 
8.70, 0.434527, , 
8.73, 0.430473, , 
8.76, 0.425670, , 
8.79, 0.421680, , 
8.82, 0.417230, , 
8.85, 0.413754, , 
8.88, 0.410458, , 
8.91, 0.407305, , 
8.94, 0.404307, , 
8.97, 0.401056, , 
9.00, 0.398293, , 
9.03, 0.395553, , 
9.06, 0.392470, , 
9.09, 0.389824, , 
9.12, 0.387303, , 
9.15, 0.385019, , 
9.18, 0.382519, , 
9.21, 0.380420, , 
9.24, 0.378136, , 
9.27, 0.375684, , 
9.30, 0.373203, , 
9.33, 0.370346, , 
9.36, 0.367894, , 
9.39, 0.364937, , 
9.42, 0.362825, , 
9.45, 0.360256, , 
9.48, 0.357299, , 
9.51, 0.354790, , 
9.54, 0.351929, , 
9.57, 0.349392, , 
9.58, 0.348945, 3, 0.585
9.60, 0.346585, , 
9.63, 0.343454, , 
9.66, 0.340079, , 
9.69, 0.335895, , 
9.72, 0.332235, , 
9.75, 0.328876, , 
9.78, 0.325358, , 
9.82, 0.322678, , 
9.84, 0.320229, , 
9.87, 0.317945, , 
9.90, 0.315658, , 
9.93, 0.312864, , 
9.96, 0.310434, , 
9.99, 0.307662, , 
10.02, 0.305768, , 
10.05, 0.303361, , 
10.08, 0.301772, , 
10.11, 0.300684, , 
10.14, 0.299967, , 
10.17, 0.299367, , 
10.20, 0.298818, , 
10.23, 0.298216, , 
10.26, 0.297350, , 
10.29, 0.296313, , 
10.32, 0.295126, , 
10.35, 0.293956, , 
10.38, 0.292760, , 
10.41, 0.291260, , 
10.44, 0.289912, , 
10.47, 0.288652, , 
10.50, 0.287225, , 
10.53, 0.285937, , 
10.56, 0.284459, , 
10.59, 0.282826, , 
10.62, 0.280973, , 
10.65, 0.278493, , 
10.68, 0.276304, , 
10.71, 0.273995, , 
10.74, 0.272257, , 
10.77, 0.270997, , 
10.80, 0.269402, , 
10.83, 0.268124, , 
10.86, 0.266604, , 
10.89, 0.265263, , 
10.92, 0.263965, , 
10.96, 0.262557, , 
10.98, 0.261612, , 
11.01, 0.260324, , 
11.04, 0.259264, , 
11.07, 0.258218, , 
11.10, 0.256901, , 
11.13, 0.255734, , 
11.16, 0.254529, , 
11.19, 0.253174, , 
11.22, 0.251642, , 
11.25, 0.249774, , 
11.28, 0.248232, , 
11.31, 0.246399, , 
11.34, 0.244734, , 
11.37, 0.243392, , 
11.40, 0.241568, , 
11.43, 0.239985, , 
11.46, 0.238101, , 
11.49, 0.236471, , 
11.52, 0.234847, , 
11.55, 0.232861, , 
11.58, 0.231415, , 
11.61, 0.229436, , 
11.64, 0.227818, , 
11.67, 0.226283, , 
11.70, 0.224551, , 
11.73, 0.223155, , 
11.77, 0.221595, , 
11.79, 0.220507, , 
11.82, 0.219162, , 
11.85, 0.217687, , 
