Gradient Profiler Text Data File: 20231116_BY4742_40C.csv
Date: 2023-11-16
Time: 17:45:00

User: jared
Experiment name: 20231116_BY4742_30
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.082112, 0, 0.000
0.03, 0.082115, , 
0.06, 0.082121, , 
0.09, 0.082131, , 
0.12, 0.082131, , 
0.15, 0.082077, , 
0.18, 0.082077, , 
0.21, 0.082172, , 
0.24, 0.082337, , 
0.27, 0.082454, , 
0.30, 0.082600, , 
0.33, 0.082813, , 
0.36, 0.083003, , 
0.39, 0.083213, , 
0.42, 0.083368, , 
0.45, 0.083492, , 
0.48, 0.083701, , 
0.51, 0.083879, , 
0.54, 0.084313, , 
0.57, 0.085966, , 
0.60, 0.089908, , 
0.63, 0.104639, , 
0.66, 0.133640, , 
0.69, 0.192800, , 
0.72, 0.262329, , 
0.75, 0.343489, , 
0.79, 0.446986, , 
0.81, 0.524311, , 
0.84, 0.635002, , 
0.87, 0.731267, , 
0.90, 0.844582, , 
0.93, 0.942138, , 
0.96, 1.023793, , 
0.99, 1.138509, , 
1.02, 1.237042, , 
1.05, 1.352193, , 
1.08, 1.450497, , 
1.11, 1.547482, , 
1.14, 1.654903, , 
1.17, 1.723246, , 
1.20, 1.798814, , 
1.23, 1.842720, , 
1.26, 1.870832, , 
1.29, 1.890299, , 
1.32, 1.900071, , 
1.35, 1.907294, , 
1.38, 1.910957, , 
