Gradient Profiler Text Data File: 20231116_MV_I_40C.csv
Date: 2023-11-16
Time: 18:01:10

User: jared
Experiment name: 20231116_BY4742_30
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 1.734284, 0, 0.000
0.03, 1.734297, , 
0.06, 1.734290, , 
0.09, 1.734227, , 
0.12, 1.734271, , 
0.15, 1.734630, , 
0.18, 1.735128, , 
0.21, 1.735768, , 
0.24, 1.736314, , 
0.27, 1.737031, , 
0.30, 1.737376, , 
0.33, 1.736986, , 
0.36, 1.735819, , 
0.39, 1.734347, , 
0.42, 1.732723, , 
0.45, 1.731797, , 
0.48, 1.732733, , 
0.51, 1.736777, , 
0.54, 1.742347, , 
0.57, 1.749443, , 
0.60, 1.759222, , 
0.64, 1.768611, , 
0.66, 1.778678, , 
0.69, 1.789307, , 
0.72, 1.800520, , 
0.75, 1.814350, , 
0.78, 1.826387, , 
0.81, 1.840915, , 
0.85, 1.854110, , 
0.87, 1.865770, , 
0.90, 1.882807, , 
0.93, 1.898086, , 
0.96, 1.913628, , 
0.99, 1.930560, , 
1.02, 1.942965, , 
1.05, 1.954978, , 
1.08, 1.962048, , 
1.11, 1.969067, , 
1.14, 1.975138, , 
1.17, 1.978361, , 
1.20, 1.980128, , 
1.23, 1.980461, , 
1.26, 1.980220, , 
1.29, 1.979801, , 
1.32, 1.979420, , 
1.35, 1.979106, , 
1.38, 1.978954, , 
1.41, 1.978802, , 
1.44, 1.978494, , 
1.47, 1.978038, , 
1.50, 1.977473, , 
1.53, 1.976835, , 
1.56, 1.976198, , 
1.59, 1.975500, , 
1.62, 1.975072, , 
1.65, 1.975272, , 
1.68, 1.976413, , 
1.71, 1.978018, , 
1.74, 1.980822, , 
1.77, 1.983382, , 
1.80, 1.986180, , 
1.83, 1.988238, , 
1.86, 1.990097, , 
1.90, 1.992099, , 
1.92, 1.993355, , 
1.95, 1.994909, , 
1.98, 1.996099, , 
2.01, 1.997209, , 
2.04, 1.998316, , 
2.07, 1.999178, , 
2.10, 1.999981, , 
2.13, 2.000787, , 
2.16, 2.001557, , 
2.19, 2.002322, , 
2.22, 2.002918, , 
2.25, 2.003451, , 
2.28, 2.004044, , 
2.31, 2.004476, , 
2.34, 2.004945, , 
2.37, 2.005411, , 
2.40, 2.005782, , 
2.43, 2.006112, , 
2.46, 2.006391, , 
2.49, 2.006766, , 
2.52, 2.006988, , 
2.56, 2.007127, , 
2.58, 2.007267, , 
2.61, 2.007375, , 
2.64, 2.007435, , 
2.67, 2.007571, , 
2.70, 2.007816, , 
2.73, 2.008234, , 
2.76, 2.008672, , 
2.79, 2.009433, , 
2.82, 2.010331, , 
2.85, 2.011539, , 
2.88, 2.013030, , 
2.91, 2.014290, , 
2.94, 2.015511, , 
2.97, 2.016275, , 
3.00, 2.017040, , 
3.03, 2.017769, , 
3.06, 2.018381, , 
3.09, 2.019146, , 
3.12, 2.019739, , 
3.15, 2.020218, , 
3.18, 2.020618, , 
3.21, 2.020884, , 
3.24, 2.020909, , 
3.27, 2.020671, , 
3.30, 2.020183, , 
3.33, 2.019178, , 
3.36, 2.017890, , 
3.39, 2.016332, , 
3.42, 2.014664, , 
3.45, 2.012916, , 
3.48, 2.010959, , 
3.51, 2.009272, , 
3.54, 2.007327, , 
3.58, 2.005481, , 
3.60, 2.003790, , 
3.63, 2.001120, , 
3.66, 1.998582, , 
3.69, 1.995391, , 
3.72, 1.992333, , 
3.75, 1.989031, , 
3.78, 1.985492, , 
3.81, 1.981844, , 
3.84, 1.977660, , 
3.87, 1.974158, , 
3.90, 1.970828, , 
3.93, 1.967117, , 
3.96, 1.964005, , 
3.99, 1.961080, , 
4.02, 1.958299, , 
4.05, 1.955685, , 
4.08, 1.952862, , 
4.11, 1.950676, , 
4.14, 1.948469, , 
4.17, 1.946908, , 
4.20, 1.945909, , 
4.23, 1.944875, , 
4.26, 1.944393, , 
4.29, 1.944228, , 
4.32, 1.944361, , 
4.35, 1.944589, , 
4.38, 1.945008, , 
4.41, 1.945351, , 
4.44, 1.945839, , 
4.47, 1.946248, , 
4.50, 1.946696, , 
4.53, 1.947197, , 
4.56, 1.947590, , 
4.57, 1.947663, 1, 0.836
4.59, 1.948079, , 
4.62, 1.948412, , 
4.65, 1.948748, , 
4.68, 1.949005, , 
4.71, 1.948960, , 
4.74, 1.948405, , 
4.77, 1.947219, , 
4.80, 1.945176, , 
4.83, 1.942353, , 
4.86, 1.938918, , 
4.89, 1.935048, , 
4.92, 1.929811, , 
4.95, 1.924740, , 
4.98, 1.917977, , 
5.02, 1.911335, , 
5.04, 1.903976, , 
5.07, 1.895961, , 
5.10, 1.887250, , 
5.13, 1.876276, , 
5.16, 1.866078, , 
5.19, 1.855163, , 
