Gradient Profiler Text Data File: 20231116_MV_A_40C.csv
Date: 2023-11-16
Time: 18:18:30

User: jared
Experiment name: 20231116_BY4742_30
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.082550, 0, 0.000
0.03, 0.082562, , 
0.06, 0.082556, , 
0.09, 0.082546, , 
0.12, 0.082540, , 
0.15, 0.082556, , 
0.18, 0.082553, , 
0.21, 0.082540, , 
0.24, 0.082515, , 
0.27, 0.082572, , 
0.30, 0.082699, , 
0.33, 0.082860, , 
0.36, 0.082927, , 
0.39, 0.083022, , 
0.42, 0.083187, , 
0.45, 0.083305, , 
0.48, 0.083450, , 
0.51, 0.083603, , 
0.54, 0.083948, , 
0.57, 0.084982, , 
0.60, 0.089236, , 
0.63, 0.104277, , 
0.66, 0.134306, , 
0.69, 0.196961, , 
0.72, 0.271403, , 
0.75, 0.358860, , 
0.78, 0.454091, , 
0.81, 0.553728, , 
0.84, 0.673094, , 
0.87, 0.776578, , 
0.90, 0.880796, , 
0.93, 1.003004, , 
0.96, 1.108081, , 
0.99, 1.213370, , 
1.02, 1.318929, , 
1.05, 1.424278, , 
1.08, 1.547054, , 
1.11, 1.650726, , 
1.14, 1.749849, , 
1.17, 1.851950, , 
1.20, 1.919430, , 
1.23, 1.965670, , 
1.26, 1.994484, , 
1.29, 2.011295, , 
1.32, 2.021782, , 
1.35, 2.026419, , 
1.38, 2.029277, , 
1.42, 2.030596, , 
1.44, 2.031301, , 
1.47, 2.031894, , 
1.50, 2.032211, , 
1.53, 2.032544, , 
1.56, 2.032760, , 
1.59, 2.032874, , 
1.62, 2.032960, , 
1.65, 2.033074, , 
1.69, 2.033172, , 
1.71, 2.033232, , 
1.74, 2.033255, , 
1.77, 2.033315, , 
1.80, 2.033388, , 
1.83, 2.033477, , 
1.86, 2.033502, , 
1.89, 2.033540, , 
1.92, 2.033591, , 
1.95, 2.033610, , 
1.98, 2.033642, , 
2.01, 2.033657, , 
2.05, 2.033721, , 
2.07, 2.033762, , 
2.10, 2.033794, , 
2.13, 2.033841, , 
2.16, 2.033848, , 
2.19, 2.033826, , 
2.22, 2.033794, , 
2.25, 2.033829, , 
2.28, 2.033876, , 
2.31, 2.033908, , 
2.34, 2.033883, , 
2.37, 2.033895, , 
2.40, 2.033943, , 
2.43, 2.033924, , 
2.46, 2.033917, , 
2.49, 2.033949, , 
2.52, 2.033997, , 
2.55, 2.034029, , 
2.58, 2.034044, , 
2.61, 2.034067, , 
2.64, 2.034082, , 
2.67, 2.034063, , 
2.70, 2.034054, , 
2.73, 2.034067, , 
2.76, 2.034070, , 
2.79, 2.034086, , 
2.82, 2.034082, , 
2.85, 2.034095, , 
2.88, 2.034098, , 
2.91, 2.034111, , 
2.94, 2.034101, , 
2.97, 2.034095, , 
3.00, 2.034121, , 
3.03, 2.034127, , 
3.06, 2.034124, , 
3.09, 2.034133, , 
3.12, 2.034114, , 
3.15, 2.034149, , 
3.18, 2.034168, , 
3.19, 2.034152, 1, 0.584
3.21, 2.034155, , 
3.24, 2.033997, , 
3.27, 2.033584, , 
3.30, 2.032807, , 
3.33, 2.031624, , 
3.36, 2.029664, , 
3.39, 2.027383, , 
3.42, 2.023932, , 
3.45, 2.020265, , 
3.48, 2.015907, , 
3.51, 2.010984, , 
3.54, 2.005430, , 
3.57, 1.998173, , 
3.60, 1.991188, , 
3.63, 1.983560, , 
3.66, 1.973860, , 
3.69, 1.966463, , 
3.72, 1.955377, , 
3.75, 1.945151, , 
3.78, 1.934423, , 
3.81, 1.921371, , 
3.84, 1.909850, , 
3.87, 1.896141, , 
3.90, 1.886194, , 
3.93, 1.874207, , 
3.96, 1.860216, , 
3.99, 1.848179, , 
4.02, 1.836116, , 
4.05, 1.821813, , 
4.08, 1.809440, , 
4.11, 1.796920, , 
4.14, 1.782272, , 
4.17, 1.769676, , 
4.20, 1.756903, , 
4.23, 1.744111, , 
4.26, 1.731248, , 
4.29, 1.716270, , 
4.32, 1.703373, , 
4.35, 1.688421, , 
4.38, 1.675647, , 
4.41, 1.664904, , 
4.44, 1.649755, , 
4.47, 1.636725, , 
4.50, 1.621553, , 
4.53, 1.608583, , 
4.56, 1.595686, , 
4.59, 1.580765, , 
4.62, 1.570158, , 
4.65, 1.555501, , 
4.68, 1.542969, , 
4.71, 1.530484, , 
4.74, 1.516061, , 
4.77, 1.503767, , 
4.80, 1.491491, , 
4.83, 1.479260, , 
4.86, 1.467052, , 
4.89, 1.452882, , 
4.92, 1.440820, , 
4.95, 1.426873, , 
4.98, 1.414972, , 
5.01, 1.405037, , 
5.04, 1.391100, , 
5.07, 1.379208, , 
5.10, 1.365410, , 
5.13, 1.353721, , 
5.16, 1.342014, , 
5.20, 1.328479, , 
5.22, 1.318881, , 
5.25, 1.305419, , 
5.28, 1.293880, , 
5.31, 1.282404, , 
5.34, 1.269072, , 
5.37, 1.257682, , 
5.41, 1.244512, , 
5.43, 1.235174, , 
5.46, 1.224012, , 
5.49, 1.211007, , 
5.52, 1.199940, , 
5.55, 1.188968, , 
5.58, 1.176315, , 
5.61, 1.165556, , 
5.64, 1.154870, , 
5.67, 1.144206, , 
5.70, 1.133557, , 
5.73, 1.121174, , 
5.76, 1.110618, , 
5.79, 1.098419, , 
5.82, 1.088031, , 
5.85, 1.079403, , 
5.88, 1.067397, , 
5.91, 1.057291, , 
5.94, 1.045571, , 
5.97, 1.035570, , 
6.00, 1.025651, , 
6.03, 1.014252, , 
6.06, 1.006182, , 
6.09, 0.994912, , 
6.12, 0.985292, , 
6.15, 0.974247, , 
6.18, 0.964836, , 
6.21, 0.957071, , 
6.24, 0.946264, , 
6.27, 0.937094, , 
6.30, 0.928010, , 
6.33, 0.917444, , 
6.36, 0.908369, , 
6.38, 0.902336, 2, 0.584
6.39, 0.897841, , 
6.42, 0.888887, , 
6.45, 0.881531, , 
6.48, 0.871292, , 
6.51, 0.862658, , 
6.54, 0.852724, , 
6.57, 0.844264, , 
6.60, 0.835878, , 
6.63, 0.826216, , 
6.66, 0.819276, , 
6.69, 0.809598, , 
6.72, 0.801450, , 
6.75, 0.793380, , 
6.78, 0.784045, , 
6.81, 0.776128, , 
6.84, 0.767059, , 
6.87, 0.760757, , 
6.90, 0.753296, , 
6.93, 0.744659, , 
6.96, 0.737310, , 
6.99, 0.728809, , 
7.02, 0.721555, , 
7.05, 0.714389, , 
7.08, 0.707364, , 
7.11, 0.700465, , 
7.14, 0.692446, , 
7.17, 0.685598, , 
7.20, 0.678848, , 
7.23, 0.671013, , 
7.26, 0.664359, , 
7.29, 0.657745, , 
7.32, 0.651154, , 
7.35, 0.644578, , 
7.38, 0.636985, , 
7.41, 0.630552, , 
7.44, 0.623069, , 
7.48, 0.616697, , 
7.50, 0.611400, , 
7.53, 0.604070, , 
7.56, 0.597837, , 
7.59, 0.590573, , 
7.62, 0.584391, , 
7.65, 0.578275, , 
7.68, 0.572255, , 
7.71, 0.566279, , 
7.74, 0.559412, , 
7.77, 0.553607, , 
7.80, 0.547987, , 
7.83, 0.541433, , 
7.86, 0.535914, , 
7.89, 0.530487, , 
7.92, 0.525171, , 
7.95, 0.519950, , 
7.98, 0.513933, , 
8.01, 0.508801, , 
8.04, 0.502821, , 
8.07, 0.497734, , 
8.10, 0.493455, , 
