Gradient Profiler Text Data File: 20240419_MV_A_30.csv
Date: 2024-04-19
Time: 15:13:04

User: jared
Experiment name: 
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW28.1
Speed: 28 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 4
w2t:  x 10^0
Sample Volume: 18 ml
Number of Tubes: 6
Volume per mm: 0.183 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 10 Hz
EM1 Speed: 0.30 mm/sec
Distance: 3.20 mm
Number: 30
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Total Distance: 96.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.096493, 0, 0.000
0.03, 0.096506, , 
0.06, 0.096478, , 
0.09, 0.096433, , 
0.12, 0.096360, , 
0.15, 0.096370, , 
0.18, 0.096452, , 
0.21, 0.096627, , 
0.24, 0.097077, , 
0.27, 0.097778, , 
0.31, 0.098485, , 
0.33, 0.099040, , 
0.36, 0.099545, , 
0.39, 0.100021, , 
0.42, 0.100649, , 
0.45, 0.101004, , 
0.48, 0.101207, , 
0.51, 0.101477, , 
0.54, 0.101946, , 
0.57, 0.103900, , 
0.60, 0.109365, , 
0.63, 0.126643, , 
0.66, 0.156472, , 
0.69, 0.201155, , 
0.72, 0.257406, , 
0.75, 0.320816, , 
0.78, 0.399508, , 
0.81, 0.469024, , 
0.84, 0.539416, , 
0.87, 0.622600, , 
0.90, 0.694365, , 
0.93, 0.766397, , 
0.96, 0.838764, , 
0.99, 0.911417, , 
1.02, 0.996409, , 
1.05, 1.069304, , 
1.08, 1.153883, , 
1.11, 1.224468, , 
1.14, 1.279428, , 
1.17, 1.344735, , 
1.20, 1.385396, , 
1.23, 1.415574, , 
1.26, 1.430590, , 
1.29, 1.439380, , 
1.32, 1.445495, , 
1.35, 1.448556, , 
1.38, 1.451842, , 
1.41, 1.453993, , 
1.44, 1.455579, , 
1.47, 1.456870, , 
1.50, 1.457364, , 
1.53, 1.457079, , 
1.56, 1.456486, , 
1.59, 1.455242, , 
1.62, 1.452616, , 
1.65, 1.449079, , 
1.68, 1.443484, , 
1.71, 1.437467, , 
1.74, 1.430171, , 
1.77, 1.421522, , 
1.80, 1.411882, , 
1.83, 1.399407, , 
1.86, 1.387585, , 
1.89, 1.374682, , 
1.92, 1.358559, , 
1.95, 1.344076, , 
1.98, 1.329060, , 
2.01, 1.313552, , 
2.04, 1.297461, , 
2.07, 1.277814, , 
2.10, 1.259835, , 
2.13, 1.237486, , 
2.16, 1.217366, , 
2.19, 1.200082, , 
